index,instrument,open,high,low,close,volume
1546,HKEX-CARD,9634,9898,9634,9889,4689
1546,HKEX-DLKV,9951,10007,9945,9964,1934
1546,HKEX-ETFA,9739,9755,9739,9753,2401
1546,HKEX-ETFB,11673,11673,11626,11655,830
1546,HKEX-ETFB3,10852,10868,10848,10864,1313
1546,HKEX-FSR,9912,9949,9910,9927,1849
1546,HKEX-INA,10346,10356,10317,10324,1685
1546,HKEX-JNAF,12637,12654,12610,12636,1207
1546,HKEX-KOTD,12196,12247,12196,12242,752
1546,HKEX-MDKA,9661,9726,9657,9726,994
1546,HKEX-OIT,8072,8084,8058,8061,2407
1546,HKEX-SIMP,10016,10034,9995,9999,669
1546,HKEX-XFR,9806,9833,9786,9794,1285
1547,HKEX-CARD,9883,9985,9882,9965,5042
1547,HKEX-DLKV,9965,9965,9899,9945,1266
1547,HKEX-ETFA,9753,9764,9747,9764,2147
1547,HKEX-ETFB,11651,11674,11637,11641,769
1547,HKEX-ETFB3,10864,10886,10834,10840,1122
1547,HKEX-FSR,9927,9969,9909,9915,1516
1547,HKEX-INA,10346,10387,10338,10372,2361
1547,HKEX-JNAF,12634,12677,12612,12628,1008
1547,HKEX-KOTD,12239,12254,12188,12220,627
1547,HKEX-MDKA,9726,9782,9664,9782,965
1547,HKEX-OIT,8068,8095,8068,8093,912
1547,HKEX-SIMP,9999,10014,9982,9988,428
1547,HKEX-XFR,9794,9817,9789,9804,2244
1548,HKEX-CARD,9970,9981,9913,9914,3326
1548,HKEX-DLKV,9947,9984,9945,9949,805
1548,HKEX-ETFA,9772,9792,9770,9787,1200
1548,HKEX-ETFB,11636,11649,11626,11638,1783
1548,HKEX-ETFB3,10836,10855,10819,10841,1887
1548,HKEX-FSR,9956,9990,9932,9984,1582
1548,HKEX-INA,10367,10420,10364,10420,1161
1548,HKEX-JNAF,12660,12701,12654,12686,656
1548,HKEX-KOTD,12226,12294,12217,12289,1205
1548,HKEX-MDKA,9782,9786,9717,9719,539
1548,HKEX-OIT,8093,8134,8093,8125,445
1548,HKEX-SIMP,9989,9999,9973,9993,1425
1548,HKEX-XFR,9783,9820,9776,9790,1490
1549,HKEX-CARD,9908,9932,9814,9815,2275
1549,HKEX-DLKV,9949,9987,9922,9922,750
1549,HKEX-ETFA,9781,9807,9781,9792,2096
1549,HKEX-ETFB,11642,11656,11605,11605,1346
1549,HKEX-ETFB3,10837,10854,10836,10842,976
1549,HKEX-FSR,9980,9989,9935,9941,1575
1549,HKEX-INA,10421,10428,10385,10396,891
1549,HKEX-JNAF,12686,12726,12662,12671,642
1549,HKEX-KOTD,12291,12330,12260,12296,1259
1549,HKEX-MDKA,9714,9736,9641,9693,841
1549,HKEX-OIT,8128,8148,8096,8096,423
1549,HKEX-SIMP,9996,10008,9977,10002,725
1549,HKEX-XFR,9782,9800,9778,9781,579
1550,HKEX-CARD,9811,10050,9682,9708,4386
1550,HKEX-DLKV,9925,9928,9901,9914,462
1550,HKEX-ETFA,9784,9803,9778,9791,2014
1550,HKEX-ETFB,11605,11650,11601,11650,1219
1550,HKEX-ETFB3,10838,10892,10838,10886,1160
1550,HKEX-FSR,9962,9962,9908,9936,2800
1550,HKEX-INA,10396,10436,10377,10414,1217
1550,HKEX-JNAF,12685,12730,12685,12724,593
1550,HKEX-KOTD,12305,12367,12291,12340,1164
1550,HKEX-MDKA,9693,9693,9607,9624,1384
1550,HKEX-OIT,8097,8128,8091,8103,1261
1550,HKEX-SIMP,10003,10023,9992,10007,799
1550,HKEX-XFR,9795,9807,9777,9807,906
1551,HKEX-CARD,9715,10048,9629,9648,1995
1551,HKEX-DLKV,9910,9935,9888,9932,823
1551,HKEX-ETFA,9790,9811,9786,9799,2340
1551,HKEX-ETFB,11660,11674,11656,11673,228
1551,HKEX-ETFB3,10892,10907,10861,10861,661
1551,HKEX-FSR,9946,10068,9929,9931,1906
1551,HKEX-INA,10412,10439,10407,10430,137
1551,HKEX-JNAF,12699,12724,12698,12717,284
1551,HKEX-KOTD,12331,12415,12317,12382,826
1551,HKEX-MDKA,9629,9659,9625,9643,646
1551,HKEX-OIT,8079,8112,8075,8091,1957
1551,HKEX-SIMP,10006,10022,9996,10020,803
1551,HKEX-XFR,9807,9822,9807,9807,246
1552,HKEX-CARD,9677,9703,9402,9402,2558
1552,HKEX-DLKV,9912,9930,9885,9915,566
1552,HKEX-ETFA,9799,9812,9797,9812,1507
1552,HKEX-ETFB,11675,11684,11645,11680,1078
1552,HKEX-ETFB3,10861,10909,10861,10901,877
1552,HKEX-FSR,9927,9955,9889,9932,1264
1552,HKEX-INA,10426,10441,10410,10433,365
1552,HKEX-JNAF,12660,12732,12657,12729,900
1552,HKEX-KOTD,12373,12393,12360,12370,1301
1552,HKEX-MDKA,9625,9634,9613,9628,432
1552,HKEX-OIT,8095,8133,8090,8111,1408
1552,HKEX-SIMP,10022,10031,10008,10031,688
1552,HKEX-XFR,9792,9820,9787,9820,1051
1553,HKEX-CARD,9400,10050,9258,9272,4486
1553,HKEX-DLKV,9913,9919,9880,9889,179
1553,HKEX-ETFA,9808,9824,9806,9813,1943
1553,HKEX-ETFB,11684,11700,11669,11669,1953
1553,HKEX-ETFB3,10901,10913,10881,10911,822
1553,HKEX-FSR,9943,9979,9929,9949,1299
1553,HKEX-INA,10419,10439,10400,10430,328
1553,HKEX-JNAF,12717,12783,12717,12757,996
1553,HKEX-KOTD,12370,12433,12361,12414,552
1553,HKEX-MDKA,9628,9668,9623,9662,483
1553,HKEX-OIT,8119,8200,8119,8184,1114
1553,HKEX-SIMP,10031,10031,9991,10029,1265
1553,HKEX-XFR,9820,9820,9772,9801,1293
1554,HKEX-CARD,9281,9386,9272,9353,4481
1554,HKEX-DLKV,9932,9940,9906,9917,1012
1554,HKEX-ETFA,9811,9815,9789,9795,2353
1554,HKEX-ETFB,11672,11685,11664,11679,1880
1554,HKEX-ETFB3,10909,10917,10898,10910,1463
1554,HKEX-FSR,9963,10023,9951,10004,1310
1554,HKEX-INA,10430,10449,10411,10449,1112
1554,HKEX-JNAF,12783,12852,12777,12827,390
1554,HKEX-KOTD,12414,12432,12388,12421,1379
1554,HKEX-MDKA,9636,9672,9601,9620,440
1554,HKEX-OIT,8184,8210,8176,8204,1499
1554,HKEX-SIMP,10029,10043,10004,10023,1290
1554,HKEX-XFR,9781,9798,9757,9771,718
1555,HKEX-CARD,9349,9396,9333,9368,3192
1555,HKEX-DLKV,9915,9962,9893,9945,1093
1555,HKEX-ETFA,9789,9821,9789,9812,916
1555,HKEX-ETFB,11678,11711,11668,11711,1448
1555,HKEX-ETFB3,10910,10928,10904,10924,1009
1555,HKEX-FSR,9996,10039,9955,9957,1603
1555,HKEX-INA,10416,10451,10403,10413,576
1555,HKEX-JNAF,12810,12810,12725,12747,1037
1555,HKEX-KOTD,12421,12436,12389,12421,1353
1555,HKEX-MDKA,9614,9620,9577,9598,697
1555,HKEX-OIT,8204,8208,8164,8190,2584
1555,HKEX-SIMP,10010,10043,9988,9988,712
1555,HKEX-XFR,9779,9784,9741,9741,715
1556,HKEX-CARD,9384,9591,9376,9585,3997
1556,HKEX-DLKV,9937,9986,9933,9961,1154
1556,HKEX-ETFA,9814,9852,9804,9846,1871
1556,HKEX-ETFB,11711,11735,11703,11732,1195
1556,HKEX-ETFB3,10920,10939,10918,10935,1021
1556,HKEX-FSR,9951,9980,9944,9957,2288
1556,HKEX-INA,10404,10449,10385,10443,1430
1556,HKEX-JNAF,12720,12788,12717,12756,586
1556,HKEX-KOTD,12433,12458,12384,12389,971
1556,HKEX-MDKA,9586,9635,9570,9608,411
1556,HKEX-OIT,8189,8193,8140,8174,2373
1556,HKEX-SIMP,9987,10030,9984,10004,819
1556,HKEX-XFR,9760,9793,9739,9770,1148
1557,HKEX-CARD,9588,9588,9533,9533,4010
1557,HKEX-DLKV,9963,9967,9914,9939,1598
1557,HKEX-ETFA,9837,9851,9830,9830,1704
1557,HKEX-ETFB,11732,11750,11732,11746,723
1557,HKEX-ETFB3,10935,10937,10912,10914,916
1557,HKEX-FSR,9974,9974,9923,9967,1342
1557,HKEX-INA,10447,10447,10393,10411,867
1557,HKEX-JNAF,12768,12792,12739,12769,294
1557,HKEX-KOTD,12404,12404,12349,12395,755
1557,HKEX-MDKA,9592,9592,9516,9525,810
1557,HKEX-OIT,8160,8173,8135,8140,1651
1557,HKEX-SIMP,10003,10016,9978,10012,848
1557,HKEX-XFR,9770,9793,9748,9791,1217
1558,HKEX-CARD,9533,9575,9520,9544,1610
1558,HKEX-DLKV,9958,9990,9932,9977,811
1558,HKEX-ETFA,9820,9836,9816,9833,2258
1558,HKEX-ETFB,11750,11758,11749,11752,333
1558,HKEX-ETFB3,10914,10958,10914,10924,1158
1558,HKEX-FSR,9959,9981,9926,9961,1914
1558,HKEX-INA,10419,10425,10361,10361,663
1558,HKEX-JNAF,12811,12817,12761,12761,857
1558,HKEX-KOTD,12399,12432,12373,12373,1350
1558,HKEX-MDKA,9546,9550,9433,9437,1148
1558,HKEX-OIT,8152,8154,8119,8138,1796
1558,HKEX-SIMP,10013,10016,9987,9987,918
1558,HKEX-XFR,9781,9806,9777,9784,918
1559,HKEX-CARD,9541,9636,9529,9613,1974
1559,HKEX-DLKV,9975,10023,9950,10002,1299
1559,HKEX-ETFA,9833,9841,9813,9815,1470
1559,HKEX-ETFB,11752,11752,11728,11729,713
1559,HKEX-ETFB3,10935,10939,10907,10911,1389
1559,HKEX-FSR,9957,9988,9947,9974,1523
1559,HKEX-INA,10361,10400,10336,10377,611
1559,HKEX-JNAF,12761,12775,12725,12753,554
1559,HKEX-KOTD,12396,12433,12366,12433,996
1559,HKEX-MDKA,9438,9441,9407,9432,848
1559,HKEX-OIT,8137,8144,8107,8142,2760
1559,HKEX-SIMP,9987,10035,9987,10001,1558
1559,HKEX-XFR,9778,9843,9778,9841,1342
1560,HKEX-CARD,9608,9784,9608,9778,5101
1560,HKEX-DLKV,10002,10041,10002,10041,1226
1560,HKEX-ETFA,9811,9815,9797,9803,1107
1560,HKEX-ETFB,11725,11744,11725,11743,1249
1560,HKEX-ETFB3,10911,10934,10899,10934,1892
1560,HKEX-FSR,9974,9980,9945,9970,1392
1560,HKEX-INA,10379,10412,10371,10412,593
1560,HKEX-JNAF,12784,12784,12687,12726,867
1560,HKEX-KOTD,12433,12433,12361,12364,1169
1560,HKEX-MDKA,9422,9471,9344,9410,1834
1560,HKEX-OIT,8146,8161,8114,8159,4712
1560,HKEX-SIMP,10005,10018,9989,9990,815
1560,HKEX-XFR,9847,9857,9814,9838,1523
1561,HKEX-CARD,9782,10050,9547,9572,5300
1561,HKEX-DLKV,10045,10066,9979,10005,1333
1561,HKEX-ETFA,9799,9812,9795,9801,1265
1561,HKEX-ETFB,11739,11747,11714,11739,1747
1561,HKEX-ETFB3,10934,10939,10901,10936,921
1561,HKEX-FSR,9984,10012,9953,9958,2445
1561,HKEX-INA,10416,10422,10354,10365,323
1561,HKEX-JNAF,12731,12784,12702,12714,949
1561,HKEX-KOTD,12384,12433,12355,12375,559
1561,HKEX-MDKA,9404,9416,9241,9248,1570
1561,HKEX-OIT,8159,8165,8128,8144,1703
1561,HKEX-SIMP,9990,10007,9951,9959,1805
1561,HKEX-XFR,9848,9848,9791,9791,983
1562,HKEX-CARD,9572,9744,9546,9721,2534
1562,HKEX-DLKV,10009,10021,9946,9950,1395
1562,HKEX-ETFA,9797,9814,9793,9796,1256
1562,HKEX-ETFB,11743,11743,11723,11727,1769
1562,HKEX-ETFB3,10934,10954,10914,10922,1576
1562,HKEX-FSR,9958,9974,9938,9952,1214
1562,HKEX-INA,10364,10372,10316,10330,608
1562,HKEX-JNAF,12708,12742,12667,12667,825
1562,HKEX-KOTD,12375,12433,12332,12332,1065
1562,HKEX-MDKA,9250,9256,9045,9075,2172
1562,HKEX-OIT,8154,8154,8112,8113,1231
1562,HKEX-SIMP,9965,9986,9964,9985,1265
1562,HKEX-XFR,9824,9828,9785,9793,519
1563,HKEX-CARD,9723,9731,9508,9547,3571
1563,HKEX-DLKV,9983,10002,9947,9981,1189
1563,HKEX-ETFA,9800,9807,9800,9804,713
1563,HKEX-ETFB,11731,11747,11692,11696,942
1563,HKEX-ETFB3,10922,10948,10918,10926,1472
1563,HKEX-FSR,9946,10017,9946,9989,3385
1563,HKEX-INA,10330,10387,10312,10387,798
1563,HKEX-JNAF,12710,12773,12689,12760,1070
1563,HKEX-KOTD,12332,12387,12318,12341,976
1563,HKEX-MDKA,9071,9149,9070,9076,2189
1563,HKEX-OIT,8124,8151,8121,8129,2420
1563,HKEX-SIMP,9983,10019,9968,9993,2816
1563,HKEX-XFR,9789,9838,9789,9828,1318
1564,HKEX-CARD,9542,9775,9540,9748,5377
1564,HKEX-DLKV,9991,10057,9991,10057,806
1564,HKEX-ETFA,9804,9812,9794,9799,910
1564,HKEX-ETFB,11698,11713,11672,11672,1767
1564,HKEX-ETFB3,10928,10928,10883,10886,1594
1564,HKEX-FSR,9979,10046,9979,10012,2817
1564,HKEX-INA,10387,10414,10386,10399,425
1564,HKEX-JNAF,12784,12809,12758,12758,774
1564,HKEX-KOTD,12377,12388,12352,12355,580
1564,HKEX-MDKA,9104,9104,9014,9025,1472
1564,HKEX-OIT,8129,8144,8114,8118,2558
