index,instrument,open,high,low,close,volume
1546,LSE-CARD,9710,10001,9709,9990,4854
1546,LSE-DDJH,13306,13426,13273,13426,216
1546,LSE-DLKV,9884,9912,9868,9902,1279
1546,LSE-ETFB,11604,11610,11592,11592,1968
1546,LSE-FSR,9966,10010,9959,9998,2131
1546,LSE-HT,11138,11167,11130,11152,941
1546,LSE-JZRO,13005,13058,13001,13018,335
1546,LSE-KOTD,12095,12142,12086,12123,372
1546,LSE-MDKA,9705,9705,9661,9703,434
1546,LSE-OIT,8057,8061,8029,8045,1493
1546,LSE-SIMP,9985,10051,9985,10039,1072
1546,LSE-XAG,11103,11103,11071,11082,299
1546,LSE-ZABA,11568,11621,11568,11617,840
1546,LSE-ZITO,8350,8371,8342,8346,445
1547,LSE-CARD,9992,10079,9958,10075,3908
1547,LSE-DDJH,13470,13470,13389,13436,219
1547,LSE-DLKV,9891,9895,9839,9840,749
1547,LSE-ETFB,11609,11636,11605,11630,1149
1547,LSE-FSR,9995,10012,9969,9981,2809
1547,LSE-HT,11172,11180,11116,11154,1088
1547,LSE-JZRO,13003,13030,12966,12974,813
1547,LSE-KOTD,12155,12155,12104,12104,544
1547,LSE-MDKA,9699,9705,9636,9666,577
1547,LSE-OIT,8048,8094,8046,8070,3576
1547,LSE-SIMP,10026,10026,9968,10012,1840
1547,LSE-XAG,11040,11077,11019,11054,1242
1547,LSE-ZABA,11607,11619,11576,11595,1139
1547,LSE-ZITO,8360,8381,8353,8381,1589
1548,LSE-CARD,10066,10068,10015,10018,3307
1548,LSE-DDJH,13387,13487,13387,13441,270
1548,LSE-DLKV,9908,9965,9907,9916,614
1548,LSE-ETFB,11630,11630,11541,11560,1115
1548,LSE-FSR,9992,10054,9988,10054,908
1548,LSE-HT,11159,11184,11132,11137,777
1548,LSE-JZRO,13013,13104,12997,13104,328
1548,LSE-KOTD,12125,12229,12116,12186,815
1548,LSE-MDKA,9653,9748,9649,9718,1185
1548,LSE-OIT,8079,8144,8079,8141,1617
1548,LSE-SIMP,9999,9999,9948,9967,3107
1548,LSE-XAG,11045,11047,10953,10971,766
1548,LSE-ZABA,11617,11667,11582,11667,914
1548,LSE-ZITO,8399,8403,8365,8403,781
1549,LSE-CARD,10018,10021,9882,9882,5712
1549,LSE-DDJH,13509,13536,13335,13335,334
1549,LSE-DLKV,9916,9946,9903,9922,424
1549,LSE-ETFB,11562,11597,11562,11586,1190
1549,LSE-FSR,10058,10058,9992,9993,681
1549,LSE-HT,11137,11139,11096,11096,728
1549,LSE-JZRO,13104,13104,13030,13036,226
1549,LSE-KOTD,12202,12268,12201,12204,1041
1549,LSE-MDKA,9706,9706,9647,9701,931
1549,LSE-OIT,8121,8147,8115,8126,3600
1549,LSE-SIMP,9967,9984,9933,9949,2969
1549,LSE-XAG,10984,11002,10947,10966,846
1549,LSE-ZABA,11671,11684,11636,11655,913
1549,LSE-ZITO,8389,8406,8361,8398,1133
1550,LSE-CARD,9882,10023,9744,9765,4378
1550,LSE-DDJH,13279,13359,13276,13346,615
1550,LSE-DLKV,9918,9918,9870,9899,1882
1550,LSE-ETFB,11586,11637,11580,11637,1342
1550,LSE-FSR,10017,10022,9954,9956,1040
1550,LSE-HT,11112,11159,11106,11159,1126
1550,LSE-JZRO,13003,13037,12921,12968,278
1550,LSE-KOTD,12204,12276,12195,12274,1109
1550,LSE-MDKA,9701,9710,9636,9636,535
1550,LSE-OIT,8126,8162,8126,8143,2233
1550,LSE-SIMP,9977,9999,9959,9989,3752
1550,LSE-XAG,10937,10966,10934,10940,887
1550,LSE-ZABA,11665,11709,11636,11700,945
1550,LSE-ZITO,8357,8388,8357,8388,1142
1551,LSE-CARD,9771,9793,9698,9720,6187
1551,LSE-DDJH,13297,13448,13297,13448,499
1551,LSE-DLKV,9914,9933,9904,9924,814
1551,LSE-ETFB,11637,11645,11616,11616,575
1551,LSE-FSR,9971,10091,9963,9993,1523
1551,LSE-HT,11165,11181,11133,11133,371
1551,LSE-JZRO,12984,12998,12930,12963,258
1551,LSE-KOTD,12276,12369,12271,12366,578
1551,LSE-MDKA,9623,9647,9601,9601,324
1551,LSE-OIT,8138,8165,8129,8158,5706
1551,LSE-SIMP,9991,10009,9981,9993,2348
1551,LSE-XAG,10937,10940,10892,10892,568
1551,LSE-ZABA,11698,11700,11623,11623,1789
1551,LSE-ZITO,8388,8388,8365,8382,934
1552,LSE-CARD,9736,9740,9459,9461,4749
1552,LSE-DDJH,13491,13519,13358,13519,398
1552,LSE-DLKV,9948,9955,9905,9908,1398
1552,LSE-ETFB,11616,11624,11599,11624,1083
1552,LSE-FSR,9980,10020,9957,10016,1041
1552,LSE-HT,11149,11155,11137,11154,433
1552,LSE-JZRO,13003,13069,12976,13069,326
1552,LSE-KOTD,12364,12376,12328,12370,441
1552,LSE-MDKA,9620,9627,9582,9584,760
1552,LSE-OIT,8166,8219,8149,8196,5906
1552,LSE-SIMP,9995,9996,9970,9983,2655
1552,LSE-XAG,10891,10897,10854,10854,306
1552,LSE-ZABA,11627,11635,11597,11633,822
1552,LSE-ZITO,8386,8419,8377,8394,794
1553,LSE-CARD,9474,9502,9299,9311,5832
1553,LSE-DDJH,13541,13739,13539,13739,434
1553,LSE-DLKV,9916,9961,9914,9948,1330
1553,LSE-ETFB,11624,11650,11620,11650,1019
1553,LSE-FSR,10008,10031,9978,10029,837
1553,LSE-HT,11166,11214,11166,11167,274
1553,LSE-JZRO,13069,13076,13023,13054,400
1553,LSE-KOTD,12371,12425,12371,12425,716
