index,instrument,open,high,low,close,volume
1546,NASDAQ-CARD,9697,9923,9648,9922,3700
1546,NASDAQ-DLKV,10010,10056,9997,10054,725
1546,NASDAQ-ETFB,11631,11636,11627,11628,663
1546,NASDAQ-ETFB3,10843,10853,10843,10853,463
1546,NASDAQ-FSR,9983,9987,9952,9979,1120
1546,NASDAQ-GOLD,8577,8642,8577,8642,1735
1546,NASDAQ-HT,11230,11267,11216,11237,785
1546,NASDAQ-INA,10351,10371,10309,10318,975
1546,NASDAQ-KOTD,12199,12207,12124,12189,833
1546,NASDAQ-NGUP,8224,8230,8168,8168,1166
1546,NASDAQ-SIMP,9942,9971,9942,9944,805
1546,NASDAQ-ZITO,8381,8384,8361,8367,1468
1547,NASDAQ-CARD,9923,10010,9911,10008,3590
1547,NASDAQ-DLKV,10024,10029,9987,9987,2623
1547,NASDAQ-ETFB,11638,11654,11638,11651,391
1547,NASDAQ-ETFB3,10863,10864,10853,10864,902
1547,NASDAQ-FSR,9962,10001,9957,9980,1280
1547,NASDAQ-GOLD,8645,8653,8615,8620,3045
1547,NASDAQ-HT,11235,11265,11227,11251,454
1547,NASDAQ-INA,10325,10345,10302,10341,2075
1547,NASDAQ-KOTD,12212,12215,12196,12198,577
1547,NASDAQ-NGUP,8163,8174,8148,8170,677
1547,NASDAQ-SIMP,9943,9968,9938,9968,1792
1547,NASDAQ-ZITO,8359,8411,8353,8398,915
1548,NASDAQ-CARD,10008,10020,9973,9977,3649
1548,NASDAQ-DLKV,9987,10059,9981,10011,1722
1548,NASDAQ-ETFB,11647,11651,11592,11597,1053
1548,NASDAQ-ETFB3,10868,10868,10843,10847,722
1548,NASDAQ-FSR,9976,9997,9959,9972,1334
1548,NASDAQ-GOLD,8614,8615,8592,8600,1186
1548,NASDAQ-HT,11257,11308,11252,11262,351
1548,NASDAQ-INA,10331,10406,10329,10402,1765
1548,NASDAQ-KOTD,12219,12305,12197,12302,220
1548,NASDAQ-NGUP,8169,8213,8169,8207,737
1548,NASDAQ-SIMP,9951,9981,9936,9947,1675
1548,NASDAQ-ZITO,8401,8418,8387,8387,569
1549,NASDAQ-CARD,9984,10021,9944,9944,4051
1549,NASDAQ-DLKV,10021,10021,9975,9975,862
1549,NASDAQ-ETFB,11602,11635,11596,11628,953
1549,NASDAQ-ETFB3,10839,10854,10818,10847,1680
1549,NASDAQ-FSR,9988,10009,9980,9997,1000
1549,NASDAQ-GOLD,8601,8615,8591,8610,1233
1549,NASDAQ-HT,11261,11261,11187,11187,1071
1549,NASDAQ-INA,10393,10413,10375,10383,1163
1549,NASDAQ-KOTD,12329,12384,12325,12383,511
1549,NASDAQ-NGUP,8218,8268,8209,8262,1531
1549,NASDAQ-SIMP,9957,9969,9921,9949,1645
1549,NASDAQ-ZITO,8413,8413,8389,8411,615
1550,NASDAQ-CARD,9898,9923,9880,9885,4804
1550,NASDAQ-DLKV,9969,10002,9913,9913,1049
1550,NASDAQ-ETFB,11620,11676,11620,11676,921
1550,NASDAQ-ETFB3,10843,10897,10838,10897,718
1550,NASDAQ-FSR,9993,10018,9961,9975,2710
1550,NASDAQ-GOLD,8626,8673,8626,8668,626
1550,NASDAQ-HT,11186,11231,11186,11231,863
1550,NASDAQ-INA,10396,10398,10358,10377,1016
1550,NASDAQ-KOTD,12323,12352,12295,12344,386
1550,NASDAQ-NGUP,8240,8243,8215,8224,1285
1550,NASDAQ-SIMP,9951,9972,9949,9972,1242
1550,NASDAQ-ZITO,8405,8417,8385,8394,2325
1551,NASDAQ-CARD,9774,9800,9739,9740,3868
1551,NASDAQ-DLKV,9959,9963,9939,9942,552
1551,NASDAQ-ETFB,11676,11685,11671,11674,1264
1551,NASDAQ-ETFB3,10897,10914,10893,10910,730
1551,NASDAQ-FSR,9976,10006,9972,9994,2348
1551,NASDAQ-GOLD,8671,8688,8614,8616,1487
1551,NASDAQ-HT,11234,11273,11218,11269,1274
1551,NASDAQ-INA,10366,10370,10352,10362,2255
1551,NASDAQ-KOTD,12369,12452,12369,12449,556
1551,NASDAQ-NGUP,8224,8248,8210,8245,2027
