index,instrument,open,high,low,close,volume
1546,NSE-CARD,9604,9866,9596,9859,4939
1546,NSE-DLKV,10012,10046,10005,10009,388
1546,NSE-OIT,8096,8099,8064,8099,1308
1546,NSE-SIMP,9970,10012,9943,9988,4249
1546,NSE-ZABA,11605,11662,11605,11658,1501
1546,NSE-ZITO,8336,8356,8330,8345,925
1547,NSE-CARD,9867,9989,9840,9986,3805
1547,NSE-DLKV,9997,9997,9941,9961,239
1547,NSE-OIT,8100,8102,8051,8075,1615
1547,NSE-SIMP,9971,10003,9967,10001,4466
1547,NSE-ZABA,11663,11673,11608,11608,2354
1547,NSE-ZITO,8343,8371,8341,8357,1399
1548,NSE-CARD,9961,9971,9954,9967,940
1548,NSE-DLKV,9968,10026,9963,9997,537
1548,NSE-OIT,8098,8142,8072,8135,3775
1548,NSE-SIMP,9996,10002,9970,9989,2933
1548,NSE-ZABA,11619,11671,11617,11671,2226
1548,NSE-ZITO,8356,8385,8346,8382,1680
1549,NSE-CARD,9969,9972,9846,9846,2798
1549,NSE-DLKV,9983,9986,9943,9982,677
1549,NSE-OIT,8133,8136,8102,8102,3769
1549,NSE-SIMP,9991,10011,9965,9997,1642
1549,NSE-ZABA,11675,11707,11649,11668,1969
1549,NSE-ZITO,8360,8374,8354,8363,1755
1550,NSE-CARD,9848,9867,9742,9750,2219
1550,NSE-DLKV,9968,9984,9920,9949,313
1550,NSE-OIT,8103,8118,8075,8096,1967
1550,NSE-SIMP,9995,10034,9990,10020,1597
1550,NSE-ZABA,11668,11696,11649,11676,1095
1550,NSE-ZITO,8361,8385,8341,8381,927
1551,NSE-CARD,9759,9792,9689,9731,5313
1551,NSE-DLKV,9951,9981,9943,9943,394
1551,NSE-OIT,8083,8538,8077,8123,2625
1551,NSE-SIMP,10013,10038,10003,10023,690
1551,NSE-ZABA,11680,11712,11658,11668,1538
1551,NSE-ZITO,8365,8405,8359,8405,4316
1552,NSE-CARD,9733,9779,9471,9479,4525
1552,NSE-DLKV,9946,9948,9907,9914,654
1552,NSE-OIT,8106,8176,8097,8153,2919
1552,NSE-SIMP,10006,10025,9988,9993,1217
1552,NSE-ZABA,11699,11703,11631,11658,1870
1552,NSE-ZITO,8387,8419,8377,8419,5726
1553,NSE-CARD,9488,10233,9309,9330,7285
1553,NSE-DLKV,9914,9948,9896,9915,1435
1553,NSE-OIT,8153,8193,8151,8190,2080
1553,NSE-SIMP,9998,9999,9965,9995,3158
1553,NSE-ZABA,11658,11681,11628,11663,2162
1553,NSE-ZITO,8434,8449,8420,8428,2551
1554,NSE-CARD,9323,9439,9308,9410,7447
1554,NSE-DLKV,9950,9963,9920,9954,1625
1554,NSE-OIT,8191,8241,8191,8225,2280
1554,NSE-SIMP,9982,9992,9971,9978,3144
1554,NSE-ZABA,11663,11700,11637,11680,1961
1554,NSE-ZITO,8428,8443,8411,8421,2513
1555,NSE-CARD,9399,9447,9368,9445,8429
1555,NSE-DLKV,9960,9970,9934,9967,2934
1555,NSE-OIT,8211,8235,8191,8209,2283
1555,NSE-SIMP,9995,10010,9977,9980,3981
1555,NSE-ZABA,11680,11682,11627,11673,2142
