time,instrument,price,quantity,passive_order_id,active_order_id
1546745,NSE-SIMP,9987,8,356847,356869
1546745,NSE-DLKV,10046,50,265591,265601
1546745,NSE-SIMP,9990,20,356846,356870
1546745,NSE-ZITO,8337,20,268829,268845
1546745,NSE-ZITO,8338,80,268831,268845
1546745,NSE-SIMP,9987,19,356847,356871
1546745,NSE-SIMP,9986,150,356849,356871
1546745,NSE-SIMP,9985,46,356851,356871
1546746,NSE-SIMP,9990,5,356846,356872
1546746,NSE-SIMP,9990,25,356846,356873
1546746,NSE-ZABA,11656,21,288127,288141
1546746,NSE-CARD,9834,10,365999,366022
1546746,NSE-CARD,9834,10,365999,366024
1546746,NSE-CARD,9834,10,365999,366026
1546746,NSE-CARD,9839,100,366006,366027
1546746,NSE-ZABA,11662,26,288126,288142
1546747,NSE-CARD,9839,19,366006,366028
1546747,NSE-CARD,9834,5,365999,366029
1546747,NSE-CARD,9834,10,365999,366030
1546747,NSE-ZABA,11662,64,288142,288143
1546747,NSE-ZABA,11656,67,288127,288143
1546747,NSE-ZABA,11654,29,288129,288143
1546747,NSE-CARD,9834,5,365999,366031
1546747,NSE-CARD,9833,8,366001,366032
1546747,NSE-OIT,8079,2,275570,275584
1546750,NSE-CARD,9833,92,366001,366035
1546750,NSE-CARD,9832,8,366003,366035
1546753,NSE-OIT,8081,4,275571,275585
1546753,NSE-OIT,8081,1,275571,275586
1546753,NSE-CARD,9832,9,366003,366036
1546792,NSE-SIMP,9989,10,356883,356884
1546813,NSE-CARD,9835,10,366034,366047
1546813,NSE-SIMP,9991,2,356884,356895
1546813,NSE-CARD,9836,2,366038,366048
1546813,NSE-CARD,9836,10,366038,366049
1546813,NSE-CARD,9836,10,366038,366050
1546815,NSE-SIMP,9991,25,356884,356897
1546815,NSE-CARD,9836,25,366038,366051
1546815,NSE-CARD,9836,3,366038,366052
1546815,NSE-CARD,9837,22,366040,366052
1546815,NSE-CARD,9834,25,366037,366053
1546815,NSE-CARD,9834,25,366037,366054
1546815,NSE-CARD,9837,25,366040,366055
1546815,NSE-SIMP,9991,13,356884,356898
1546815,NSE-SIMP,9990,12,356886,356898
1546815,NSE-SIMP,9990,8,356886,356899
1546816,NSE-ZITO,8333,20,268848,268859
1546816,NSE-ZITO,8333,10,268848,268860
1546816,NSE-CARD,9833,100,366039,366059
1546825,NSE-CARD,9832,10,366033,366060
1546825,NSE-CARD,9832,90,366041,366060
1546830,NSE-SIMP,9990,25,356886,356901
1546834,NSE-CARD,9837,10,366040,366061
1546842,NSE-ZABA,11653,50,288145,288154
1546846,NSE-CARD,9832,5,366041,366062
1546846,NSE-ZABA,11649,5,288144,288155
1546846,NSE-CARD,9837,43,366040,366063
1546846,NSE-ZABA,11649,45,288144,288156
1546847,NSE-SIMP,9993,20,356885,356902
1546847,NSE-ZABA,11649,25,288156,288157
