index,instrument,open,high,low,close,volume
1546,NYSE-CARD,9691,9966,9687,9954,6670
1546,NYSE-DDJH,13270,13389,13238,13389,1914
1546,NYSE-ETFA,9794,9818,9790,9806,2520
1546,NYSE-ETFA3,9251,9280,9247,9278,1405
1546,NYSE-INA,10336,10368,10317,10339,2445
1546,NYSE-JNAF,12580,12627,12571,12618,1723
1546,NYSE-JZRO,13030,13055,12979,12985,1261
1546,NYSE-KRAS,9639,9648,9615,9639,219
1546,NYSE-KTST,9685,9750,9685,9745,272
1546,NYSE-MDKA,9700,9700,9624,9665,2013
1546,NYSE-NGUP,8274,8315,8251,8251,1138
1546,NYSE-SIMP,9932,9942,9917,9923,1228
1546,NYSE-XFR,9842,9850,9818,9819,999
1546,NYSE-ZABA,11657,11709,11652,11709,632
1547,NYSE-CARD,9965,10041,9939,10041,4710
1547,NYSE-DDJH,13373,13414,13337,13368,1385
1547,NYSE-ETFA,9806,9823,9802,9817,2119
1547,NYSE-ETFA3,9280,9282,9263,9282,818
1547,NYSE-INA,10320,10350,10319,10341,1154
1547,NYSE-JNAF,12616,12679,12613,12665,792
1547,NYSE-JZRO,12975,12987,12941,12948,1334
1547,NYSE-KRAS,9621,9650,9610,9633,413
1547,NYSE-KTST,9746,9802,9744,9799,513
1547,NYSE-MDKA,9679,9705,9635,9650,1482
1547,NYSE-NGUP,8253,8288,8247,8253,3486
1547,NYSE-SIMP,9929,9938,9901,9928,1158
1547,NYSE-XFR,9793,9806,9773,9782,1782
1547,NYSE-ZABA,11704,11725,11637,11637,394
1548,NYSE-CARD,10043,10056,10018,10040,3650
1548,NYSE-DDJH,13336,13461,13336,13389,1928
1548,NYSE-ETFA,9819,9831,9815,9821,2688
1548,NYSE-ETFA3,9282,9290,9268,9280,1236
1548,NYSE-INA,10343,10407,10339,10382,1805
1548,NYSE-JNAF,12649,12701,12633,12690,747
1548,NYSE-JZRO,12946,13090,12946,13087,817
1548,NYSE-KRAS,9624,9628,9604,9612,663
1548,NYSE-KTST,9768,9822,9768,9815,396
1548,NYSE-MDKA,9650,9729,9650,9671,1625
1548,NYSE-NGUP,8262,8287,8245,8253,3055
1548,NYSE-SIMP,9922,9926,9886,9920,1351
1548,NYSE-XFR,9796,9817,9786,9817,1397
1548,NYSE-ZABA,11650,11734,11650,11734,485
1549,NYSE-CARD,10039,10049,9920,9926,6158
1549,NYSE-DDJH,13436,13465,13279,13279,2431
1549,NYSE-ETFA,9821,9831,9803,9807,3369
1549,NYSE-ETFA3,9280,9287,9272,9285,1782
1549,NYSE-INA,10379,10400,10353,10377,2004
1549,NYSE-JNAF,12666,12725,12666,12701,659
1549,NYSE-JZRO,13068,13118,13009,13015,1566
1549,NYSE-KRAS,9608,9631,9600,9608,531
1549,NYSE-KTST,9804,9808,9769,9769,1156
1549,NYSE-MDKA,9671,9720,9648,9656,2332
1549,NYSE-NGUP,8256,8281,8246,8255,2063
1549,NYSE-SIMP,9909,9946,9892,9934,1129
1549,NYSE-XFR,9804,9838,9780,9832,2051
1549,NYSE-ZABA,11733,11772,11733,11743,194
1550,NYSE-CARD,9914,9946,9788,9794,5848
1550,NYSE-DDJH,13268,13365,13268,13361,1307
1550,NYSE-ETFA,9807,9822,9799,9814,2108
1550,NYSE-ETFA3,9286,9291,9275,9291,895
1550,NYSE-INA,10390,10390,10354,10358,1982
1550,NYSE-JNAF,12667,12725,12667,12688,1087
1550,NYSE-JZRO,13013,13022,12923,12941,1005
1550,NYSE-KRAS,9570,9581,9524,9547,2349
1550,NYSE-KTST,9777,9788,9747,9782,1369
1550,NYSE-MDKA,9652,9696,9622,9622,1584
1550,NYSE-NGUP,8266,8266,8199,8232,2834
1550,NYSE-SIMP,9936,9948,9925,9938,1544
1550,NYSE-XFR,9849,9853,9807,9817,1187
1550,NYSE-ZABA,11761,11761,11709,11747,472
1551,NYSE-CARD,9807,9852,9730,9748,4992
1551,NYSE-DDJH,13320,13496,13320,13488,2804
1551,NYSE-ETFA,9827,9834,9820,9834,1821
1551,NYSE-ETFA3,9287,9300,9277,9283,613
1551,NYSE-INA,10386,10394,10341,10372,1873
1551,NYSE-JNAF,12698,12747,12690,12718,326
1551,NYSE-JZRO,12951,12978,12914,12957,2555
1551,NYSE-KRAS,9542,9596,9533,9556,2279
1551,NYSE-KTST,9757,9791,9756,9762,701
1551,NYSE-MDKA,9614,9652,9585,9632,1034
1551,NYSE-NGUP,8230,8258,8215,8233,2810
1551,NYSE-SIMP,9937,9962,9912,9924,1396
1551,NYSE-XFR,9799,9830,9788,9825,1644
1551,NYSE-ZABA,11737,11767,11709,11709,296
1552,NYSE-CARD,9746,9811,9484,9488,4489
1552,NYSE-DDJH,13471,13475,13301,13434,3082
1552,NYSE-ETFA,9830,9836,9795,9799,1220
1552,NYSE-ETFA3,9293,9293,9270,9274,1028
1552,NYSE-INA,10387,10401,10379,10394,1845
1552,NYSE-JNAF,12704,12771,12659,12765,938
1552,NYSE-JZRO,12965,13011,12952,12973,2335
1552,NYSE-KRAS,9561,9595,9549,9589,2001
1552,NYSE-KTST,9788,9808,9777,9808,993
1552,NYSE-MDKA,9624,9632,9600,9606,1479
1552,NYSE-NGUP,8249,8305,8239,8279,1769
1552,NYSE-SIMP,9918,9928,9896,9918,1087
1552,NYSE-XFR,9819,9827,9776,9793,1622
1552,NYSE-ZABA,11712,11712,11664,11693,1409
1553,NYSE-CARD,9489,9508,9331,9356,4823
1553,NYSE-DDJH,13527,13696,13238,13674,3208
1553,NYSE-ETFA,9799,9815,9795,9807,2452
1553,NYSE-ETFA3,9280,9295,9262,9289,1234
1553,NYSE-INA,10407,10431,10376,10431,895
1553,NYSE-JNAF,12742,12801,12740,12787,1248
1553,NYSE-JZRO,12995,13020,12968,12993,2268
1553,NYSE-KRAS,9576,9582,9538,9540,987
1553,NYSE-KTST,9810,9835,9790,9835,620
1553,NYSE-MDKA,9600,9631,9581,9596,1117
1553,NYSE-NGUP,8285,8301,8267,8267,1965
1553,NYSE-SIMP,9929,9943,9889,9933,1161
1553,NYSE-XFR,9791,9820,9768,9799,1246
1553,NYSE-ZABA,11680,11692,11659,11659,549
1554,NYSE-CARD,9342,9513,9333,9439,4647
1554,NYSE-DDJH,13723,13748,13653,13746,1600
1554,NYSE-ETFA,9799,9830,9799,9812,2437
1554,NYSE-ETFA3,9293,9293,9274,9282,1522
1554,NYSE-INA,10446,10446,10380,10382,1437
1554,NYSE-JNAF,12779,12841,12758,12823,874
1554,NYSE-JZRO,12976,13017,12963,13013,2420
1554,NYSE-KRAS,9563,9591,9556,9577,674
1554,NYSE-KTST,9797,9828,9782,9825,1143
1554,NYSE-MDKA,9597,9652,9571,9638,1543
1554,NYSE-NGUP,8262,8304,8262,8296,2524
1554,NYSE-SIMP,9936,9964,9933,9955,4074
1554,NYSE-XFR,9788,9844,9788,9814,982
1554,NYSE-ZABA,11667,11704,11638,11654,1632
1555,NYSE-CARD,9460,9901,9429,9481,3683
1555,NYSE-DDJH,13726,13728,13640,13684,1580
1555,NYSE-ETFA,9816,9844,9810,9830,2563
1555,NYSE-ETFA3,9279,9306,9279,9291,927
1555,NYSE-INA,10367,10403,10358,10395,1998
1555,NYSE-JNAF,12826,12835,12714,12765,657
1555,NYSE-JZRO,13021,13040,12952,12964,2642
1555,NYSE-KRAS,9562,9588,9544,9587,2100
1555,NYSE-KTST,9822,9822,9786,9808,1203
1555,NYSE-MDKA,9637,9656,9588,9599,1466
1555,NYSE-NGUP,8293,8303,8269,8282,2067
1555,NYSE-SIMP,9937,9966,9932,9966,3523
1555,NYSE-XFR,9827,9844,9806,9814,1071
1555,NYSE-ZABA,11633,11645,11594,11645,2527
1556,NYSE-CARD,9495,9708,9482,9685,3901
1556,NYSE-DDJH,13638,13646,13593,13642,704
1556,NYSE-ETFA,9840,9859,9831,9859,871
1556,NYSE-ETFA3,9299,9305,9280,9305,515
1556,NYSE-INA,10373,10383,10335,10355,1664
1556,NYSE-JNAF,12716,12774,12710,12774,547
1556,NYSE-JZRO,12985,12998,12919,12919,1277
1556,NYSE-KRAS,9583,9583,9534,9546,389
1556,NYSE-KTST,9806,9806,9746,9754,801
1556,NYSE-MDKA,9584,9601,9541,9541,427
1556,NYSE-NGUP,8286,8293,8244,8269,1087
1556,NYSE-SIMP,9975,10000,9956,9974,5896
1556,NYSE-XFR,9813,9835,9790,9829,961
1556,NYSE-ZABA,11655,11667,11608,11646,839
1557,NYSE-CARD,9680,9684,9626,9631,2554
1557,NYSE-DDJH,13682,13686,13611,13649,1919
1557,NYSE-ETFA,9860,9863,9852,9854,2739
1557,NYSE-ETFA3,9305,9313,9292,9304,1303
1557,NYSE-INA,10355,10355,10310,10350,1376
1557,NYSE-JNAF,12796,12796,12717,12726,1571
1557,NYSE-JZRO,12924,12933,12876,12915,2286
1557,NYSE-KRAS,9544,9544,9488,9517,531
1557,NYSE-KTST,9759,9764,9687,9693,1004
1557,NYSE-MDKA,9555,9606,9511,9519,1245
1557,NYSE-NGUP,8283,8284,8240,8263,2045
1557,NYSE-SIMP,9964,9966,9936,9955,4586
1557,NYSE-XFR,9838,9840,9807,9812,714
1557,NYSE-ZABA,11661,11676,11587,11591,2806
1558,NYSE-CARD,9631,9699,9630,9696,2547
1558,NYSE-DDJH,13630,13728,13626,13708,1299
1558,NYSE-ETFA,9856,9864,9852,9852,2030
1558,NYSE-ETFA3,9296,9301,9269,9269,882
1558,NYSE-INA,10344,10350,10308,10312,1824
1558,NYSE-JNAF,12718,12848,12718,12848,885
1558,NYSE-JZRO,12902,12939,12862,12862,1119
1558,NYSE-KRAS,9530,9589,9528,9550,953
1558,NYSE-KTST,9673,9682,9653,9676,1036
1558,NYSE-MDKA,9529,9556,9488,9490,373
1558,NYSE-NGUP,8279,8290,8240,8290,1973
1558,NYSE-SIMP,9966,9972,9928,9954,5315
1558,NYSE-XFR,9828,9851,9803,9821,614
1558,NYSE-ZABA,11607,11618,11576,11580,2182
1559,NYSE-CARD,9705,9768,9674,9762,2216
1559,NYSE-DDJH,13682,13724,13575,13602,733
1559,NYSE-ETFA,9856,9856,9811,9811,1426
1559,NYSE-ETFA3,9272,9283,9250,9254,1137
1559,NYSE-INA,10311,10311,10265,10265,2160
1559,NYSE-JNAF,12827,12827,12747,12771,559
1559,NYSE-JZRO,12883,12884,12835,12850,1372
1559,NYSE-KRAS,9559,9559,9499,9501,284
1559,NYSE-KTST,9676,9676,9643,9653,392
1559,NYSE-MDKA,9474,9474,9426,9426,278
1559,NYSE-NGUP,8288,8292,8249,8272,1739
1559,NYSE-SIMP,9955,9960,9915,9924,2751
1559,NYSE-XFR,9798,9831,9780,9794,728
1559,NYSE-ZABA,11612,11612,11550,11554,1253
1560,NYSE-CARD,9752,9912,9742,9898,1691
1560,NYSE-DDJH,13602,13609,13507,13541,1257
1560,NYSE-ETFA,9811,9817,9806,9806,324
1560,NYSE-ETFA3,9250,9264,9248,9252,759
1560,NYSE-INA,10284,10306,10253,10268,1461
1560,NYSE-JNAF,12763,12791,12760,12782,712
1560,NYSE-JZRO,12849,12910,12849,12873,455
1560,NYSE-KRAS,9501,9528,9495,9506,572
1560,NYSE-KTST,9671,9672,9655,9664,177
1560,NYSE-MDKA,9442,9470,9398,9402,420
1560,NYSE-NGUP,8317,8330,8279,8297,1264
1560,NYSE-SIMP,9938,9961,9933,9937,2491
1560,NYSE-XFR,9803,9805,9791,9797,1266
1560,NYSE-ZABA,11584,11614,11560,11560,869
1561,NYSE-CARD,9903,9923,9676,9693,808
1561,NYSE-DDJH,13525,13585,13525,13540,385
1561,NYSE-ETFA,9802,9806,9776,9783,1022
1561,NYSE-ETFA3,9258,9258,9230,9232,463
1561,NYSE-INA,10276,10278,10233,10237,1456
1561,NYSE-JNAF,12820,12864,12800,12800,303
1561,NYSE-JZRO,12905,12923,12905,12915,388
1561,NYSE-KRAS,9512,9527,9505,9505,461
1561,NYSE-KTST,9673,9695,9637,9637,258
1561,NYSE-MDKA,9412,9415,9323,9325,256
1561,NYSE-NGUP,8308,8308,8243,8248,821
1561,NYSE-SIMP,9950,9961,9920,9933,1341
1561,NYSE-XFR,9807,9823,9795,9819,1156
1561,NYSE-ZABA,11586,11616,11586,11596,1221
1562,NYSE-CARD,9681,9859,9649,9847,3680
1562,NYSE-DDJH,13538,13554,13514,13544,1009
1562,NYSE-ETFA,9783,9802,9777,9796,2137
1562,NYSE-ETFA3,9232,9273,9228,9259,1844
1562,NYSE-INA,10239,10296,10233,10258,1921
1562,NYSE-JNAF,12789,12831,12769,12804,484
1562,NYSE-JZRO,12912,12939,12871,12894,939
1562,NYSE-KRAS,9508,9521,9459,9478,1331
1562,NYSE-KTST,9643,9680,9643,9664,625
