index,instrument,open,high,low,close,volume
1546,SSE-CARD,9667,9922,9647,9907,3418
1546,SSE-FSR,9933,9944,9894,9898,1499
1546,SSE-HT,11182,11198,11151,11155,1558
1546,SSE-KRAS,9648,9656,9602,9620,217
1546,SSE-SIMP,9961,9996,9957,9976,3678
1546,SSE-ZABA,11711,11711,11672,11683,175
1547,SSE-CARD,9893,9997,9893,9996,4971
1547,SSE-FSR,9902,9926,9893,9902,1668
1547,SSE-HT,11149,11173,11134,11146,1879
1547,SSE-KRAS,9620,9634,9604,9630,325
1547,SSE-SIMP,9972,9983,9939,9964,4178
1547,SSE-ZABA,11683,11713,11655,11670,603
1548,SSE-CARD,9996,10023,9981,9982,5611
1548,SSE-FSR,9901,9957,9901,9957,1693
1548,SSE-HT,11157,11181,11140,11150,1393
1548,SSE-KRAS,9615,9630,9595,9622,597
1548,SSE-SIMP,9964,9989,9934,9964,5115
1548,SSE-ZABA,11618,11681,11618,11671,605
1549,SSE-CARD,9983,9985,9819,9838,4617
1549,SSE-FSR,9951,9994,9940,9982,1385
1549,SSE-HT,11150,11156,11130,11154,1082
1549,SSE-KRAS,9599,9649,9593,9645,1131
1549,SSE-SIMP,9963,9981,9940,9972,4152
1549,SSE-ZABA,11687,11719,11656,11710,1566
1550,SSE-CARD,9827,9837,9693,9693,4079
1550,SSE-FSR,9966,9989,9956,9957,977
1550,SSE-HT,11134,11166,11134,11139,951
1550,SSE-KRAS,9649,9656,9617,9651,427
1550,SSE-SIMP,9971,9992,9944,9983,4386
1550,SSE-ZABA,11711,11725,11671,11714,1751
1551,SSE-CARD,9691,9734,9662,9680,729
1551,SSE-FSR,9956,9981,9950,9981,1609
1551,SSE-HT,11170,11206,11170,11206,318
1551,SSE-KRAS,9657,9657,9615,9619,129
1551,SSE-SIMP,9968,9996,9961,9964,2137
1551,SSE-ZABA,11736,11736,11704,11730,1040
1552,SSE-CARD,9667,9678,9426,9426,3097
1552,SSE-FSR,9983,9994,9936,9940,2019
1552,SSE-HT,11204,11207,11167,11180,588
1552,SSE-KRAS,9623,9635,9607,9635,42
1552,SSE-SIMP,9963,9978,9927,9947,3025
1552,SSE-ZABA,11708,11708,11653,11678,37
1553,SSE-CARD,9432,9458,9235,9259,7359
1553,SSE-FSR,9997,10005,9986,10004,2272
1553,SSE-HT,11187,11231,11164,11231,476
1553,SSE-KRAS,9609,9628,9564,9572,759
1553,SSE-SIMP,9949,9964,9921,9933,2458
1553,SSE-ZABA,11689,11710,11672,11677,993
1554,SSE-CARD,9259,9388,9251,9359,4288
1554,SSE-FSR,9999,10083,9995,10081,4078
1554,SSE-HT,11215,11248,11190,11201,353
1554,SSE-KRAS,9571,9606,9567,9575,774
1554,SSE-SIMP,9959,9963,9897,9963,3757
1554,SSE-ZABA,11681,11706,11658,11706,513
1555,SSE-CARD,9359,9671,9357,9411,3487
1555,SSE-FSR,10081,10090,10037,10047,2476
1555,SSE-HT,11201,11226,11180,11180,893
1555,SSE-KRAS,9579,9603,9560,9597,855
1555,SSE-SIMP,9962,9962,9921,9941,4168
1555,SSE-ZABA,11706,11710,11661,11668,385
1556,SSE-CARD,9415,9641,9375,9641,2478
1556,SSE-FSR,10041,10041,9963,9971,840
1556,SSE-HT,11214,11214,11156,11156,308
1556,SSE-KRAS,9596,9625,9539,9552,502
1556,SSE-SIMP,9941,9990,9923,9956,2689
1556,SSE-ZABA,11723,11727,11691,11707,266
1557,SSE-CARD,9613,9622,9578,9602,993
1557,SSE-FSR,9996,9996,9961,9972,1575
1557,SSE-HT,11184,11196,11173,11196,225
1557,SSE-KRAS,9545,9545,9505,9505,286
1557,SSE-SIMP,9990,9991,9923,9965,2581
1557,SSE-ZABA,11706,11722,11655,11695,267
1558,SSE-CARD,9607,9672,9597,9672,3847
1558,SSE-FSR,9989,10146,9945,9977,3288
1558,SSE-HT,11181,11181,11131,11133,1009
1558,SSE-KRAS,9512,9556,9497,9547,1489
1558,SSE-SIMP,9968,10015,9859,9978,3322
1558,SSE-ZABA,11665,11673,11645,11654,415
1559,SSE-CARD,9653,9720,9621,9711,4148
1559,SSE-FSR,9965,9982,9961,9972,1160
1559,SSE-HT,11161,11165,11130,11155,936
1559,SSE-KRAS,9556,9556,9490,9490,1725
1559,SSE-SIMP,9968,10004,9966,9996,4344
1559,SSE-ZABA,11636,11646,11598,11618,561
1560,SSE-CARD,9705,9909,9705,9909,3271
1560,SSE-FSR,9963,10003,9959,9976,1838
1560,SSE-HT,11152,11170,11137,11143,282
1560,SSE-KRAS,9487,9507,9474,9491,1386
1560,SSE-SIMP,9990,10000,9963,9963,1656
1560,SSE-ZABA,11621,11621,11587,11613,173
1561,SSE-CARD,9922,9942,9699,9938,3866
1561,SSE-FSR,9961,10009,9959,10004,1484
1561,SSE-HT,11133,11133,11086,11097,498
1561,SSE-KRAS,9476,9515,9472,9474,521
1561,SSE-SIMP,9972,9981,9916,9955,2591
1561,SSE-ZABA,11604,11617,11575,11617,303
1562,SSE-CARD,9703,9863,9608,9823,2743
1562,SSE-FSR,9989,9989,9956,9967,1038
1562,SSE-HT,11098,11116,11091,11107,747
1562,SSE-KRAS,9475,9477,9412,9412,719
1562,SSE-SIMP,9951,9982,9948,9965,1352
1562,SSE-ZABA,11582,11582,11539,11571,1971
1563,SSE-CARD,9842,9842,9657,9659,1559
1563,SSE-FSR,9979,9983,9929,9983,1480
1563,SSE-HT,11104,11107,11060,11095,846
1563,SSE-KRAS,9436,9470,9429,9470,851
1563,SSE-SIMP,9963,10014,9952,9984,1663
1563,SSE-ZABA,11572,11572,11485,11519,959
1564,SSE-CARD,9678,9873,9560,9859,2674
1564,SSE-FSR,10006,10009,9969,9990,2937
1564,SSE-HT,11107,11111,11062,11064,564
1564,SSE-KRAS,9430,9434,9413,9423,1369
1564,SSE-SIMP,9994,10010,9972,10010,1513
1564,SSE-ZABA,11517,11519,11467,11481,861
1565,SSE-CARD,9863,9882,9773,9774,2844
1565,SSE-FSR,10007,10049,9993,9993,2202
1565,SSE-HT,11090,11112,11078,11105,704
1565,SSE-KRAS,9437,9468,9432,9432,665
1565,SSE-SIMP,9983,9986,9970,9981,1116
1565,SSE-ZABA,11449,11453,11397,11399,999
1566,SSE-CARD,9804,9822,9780,9816,5111
1566,SSE-FSR,9990,10059,9990,10036,1724
1566,SSE-HT,11127,11170,11121,11136,837
1566,SSE-KRAS,9453,9487,9423,9425,2207
1566,SSE-SIMP,9968,10011,9953,9956,3952
1566,SSE-ZABA,11403,11425,10528,11422,2732
1567,SSE-CARD,9811,9949,9802,9924,2178
1567,SSE-FSR,10032,10083,10010,10082,1783
1567,SSE-HT,11140,11153,11113,11144,256
1567,SSE-KRAS,9436,9454,9425,9443,1205
1567,SSE-SIMP,9956,9979,9942,9958,3054
1567,SSE-ZABA,11418,11449,11418,11449,1108
1568,SSE-CARD,9916,9944,9818,9832,2964
1568,SSE-FSR,10115,10142,10082,10140,1835
1568,SSE-HT,11139,11180,11139,11178,260
1568,SSE-KRAS,9453,9501,9430,9499,1841
1568,SSE-SIMP,9968,10002,9958,9987,3640
1568,SSE-ZABA,11465,11479,11444,11463,2216
1569,SSE-CARD,9844,9850,9689,9689,4368
1569,SSE-FSR,10161,10169,10114,10145,2392
1569,SSE-HT,11153,11177,11147,11164,892
1569,SSE-KRAS,9486,9502,9469,9475,2930
1569,SSE-SIMP,10003,10010,9975,9977,2962
1569,SSE-ZABA,11506,11506,11438,11466,3341
1570,SSE-CARD,9694,9694,9447,9453,2764
1570,SSE-FSR,10125,10136,10091,10122,1602
1570,SSE-HT,11191,11195,11165,11192,281
1570,SSE-KRAS,9495,9503,9473,9492,816
1570,SSE-SIMP,9968,10003,9935,9935,2867
1570,SSE-ZABA,11446,11456,11406,11418,945
1571,SSE-CARD,9480,9490,9217,9218,2925
1571,SSE-FSR,10105,10177,10104,10177,1714
1571,SSE-HT,11129,11160,11120,11160,253
1571,SSE-KRAS,9499,9518,9477,9487,2502
1571,SSE-SIMP,9933,9949,9908,9909,3571
1571,SSE-ZABA,11396,11446,11396,11442,1353
1572,SSE-CARD,9232,9481,9152,9180,4237
1572,SSE-FSR,10162,10166,10091,10125,1741
1572,SSE-HT,11133,11158,11116,11127,474
1572,SSE-KRAS,9492,9542,9471,9540,1468
