time,instrument,bid1_price,bid1_qty,bid2_price,bid2_qty,bid3_price,bid3_qty,ask1_price,ask1_qty,ask2_price,ask2_qty,ask3_price,ask3_qty
1547063,SSE-CARD,9891,50,9890,100,9889,150,9894,18,9895,150,9896,200
1547063,SSE-FSR,9913,50,9911,100,9909,150,9917,50,9919,100,9921,150
1547063,SSE-HT,11145,50,11143,100,11141,150,11151,53,11153,150,11155,200
1547063,SSE-KRAS,9616,50,9614,100,9612,150,9620,50,9622,100,9624,150
1547063,SSE-SIMP,9970,60,9969,100,9968,150,9972,30,9973,100,9974,150
1547063,SSE-ZABA,11677,50,11675,100,11673,150,11683,51,11685,220,11687,200
1547222,SSE-CARD,9901,125,9900,200,9899,250,9906,100,9907,150,9908,200
1547222,SSE-FSR,9920,50,9918,100,9917,21,9924,50,9926,100,9927,5
1547222,SSE-HT,11130,50,11128,100,11126,150,11140,91,11142,250,11161,5
1547222,SSE-KRAS,9617,40,9615,100,9613,150,9621,50,9623,100,9625,150
1547222,SSE-SIMP,9974,215,9972,10,9961,8,9980,50,9981,100,9982,150
1547222,SSE-ZABA,11705,33,11703,150,11701,200,11711,50,11713,100,11715,150
1547317,SSE-CARD,9906,5,9903,60,9902,100,9907,150,9908,200,9909,500
1547317,SSE-FSR,9920,40,9918,100,9917,21,9926,100,9927,5,9928,150
1547317,SSE-HT,11130,50,11128,100,11126,150,11142,250,11161,5,11177,1
1547317,SSE-KRAS,9617,45,9615,100,9613,150,9621,40,9623,100,9625,150
1547317,SSE-SIMP,9975,7,9974,250,9972,10,9980,10,9981,100,9982,150
1547317,SSE-ZABA,11711,40,11707,50,11705,100,11713,100,11715,150,11717,200
1547416,SSE-CARD,9899,50,9898,100,9897,150,9903,64,9904,200,9905,250
1547416,SSE-FSR,9897,50,9895,100,9893,150,9905,105,9907,200,9909,250
1547416,SSE-HT,11169,45,11167,100,11165,150,11173,50,11175,100,11177,151
1547416,SSE-KRAS,9614,50,9612,100,9610,150,9620,90,9622,150,9624,200
1547416,SSE-SIMP,9951,50,9950,100,9949,150,9954,46,9955,150,9956,200
1547416,SSE-ZABA,11696,50,11694,100,11692,150,11700,50,11702,100,11704,150
1547516,SSE-CARD,9901,25,9900,100,9899,150,9904,100,9905,150,9906,200
1547516,SSE-FSR,9893,50,9891,100,9889,150,9901,92,9903,200,9905,250
1547516,SSE-HT,11167,50,11165,100,11163,150,11173,50,11175,150,11177,201
1547516,SSE-KRAS,9628,70,9626,150,9624,200,9634,50,9636,100,9638,150
1547516,SSE-SIMP,9968,48,9967,150,9966,200,9971,50,9972,100,9973,150
1547516,SSE-ZABA,11703,50,11701,100,11699,150,11707,50,11709,100,11711,160
1547616,SSE-CARD,9904,60,9903,50,9902,100,9907,150,9908,200,9909,250
1547616,SSE-FSR,9922,50,9920,100,9918,150,9926,50,9927,5,9928,100
1547616,SSE-HT,11160,50,11158,100,11156,150,11166,98,11168,150,11170,200
1547616,SSE-KRAS,9611,5,9609,50,9607,100,9613,50,9615,100,9617,150
1547616,SSE-SIMP,9935,50,9934,100,9933,150,9939,10,9940,200,9941,250
1547616,SSE-ZABA,11684,50,11682,100,11680,150,11688,50,11690,100,11692,150
1547716,SSE-CARD,9905,50,9904,210,9903,200,9908,50,9909,100,9910,150
1547716,SSE-FSR,9912,50,9910,100,9908,150,9920,143,9922,200,9924,250
1547716,SSE-HT,11152,50,11150,100,11148,150,11156,13,11158,100,11160,150
1547716,SSE-KRAS,9611,5,9610,50,9608,100,9614,50,9616,100,9618,150
