time,instrument,price,quantity,passive_order_id,active_order_id
1546833,SSE-FSR,9902,7,301727,301737
1546833,SSE-FSR,9902,6,301727,301738
1546833,SSE-FSR,9902,7,301727,301739
1546834,SSE-CARD,9909,10,389477,389495
1546834,SSE-CARD,9909,5,389477,389497
1546834,SSE-FSR,9902,1,301727,301741
1546836,SSE-CARD,9909,10,389477,389500
1546836,SSE-CARD,9908,15,389479,389500
1546836,SSE-SIMP,9979,5,362138,362159
1546836,SSE-SIMP,9979,45,362138,362160
1546836,SSE-SIMP,9980,100,362140,362160
1546836,SSE-SIMP,9981,150,362142,362160
1546836,SSE-SIMP,9982,38,362144,362160
1546836,SSE-FSR,9902,22,301727,301743
1546836,SSE-ZABA,11679,5,305836,305846
1546837,SSE-FSR,9896,3,301724,301744
1546837,SSE-KRAS,9602,7,286716,286730
1546837,SSE-ZABA,11679,6,305836,305847
1546837,SSE-HT,11169,4,310010,310035
1546946,SSE-CARD,9903,50,389501,389511
1546946,SSE-CARD,9902,50,389503,389511
1546946,SSE-CARD,9905,50,389502,389512
1546946,SSE-CARD,9906,50,389504,389512
1546946,SSE-HT,11151,50,310037,310047
1546946,SSE-HT,11153,50,310039,310048
1546946,SSE-SIMP,9979,11,362162,362174
1546946,SSE-SIMP,9979,11,362162,362175
1546946,SSE-SIMP,9979,11,362162,362176
1546947,SSE-SIMP,9979,11,362162,362177
1546947,SSE-SIMP,9979,6,362162,362178
1546947,SSE-FSR,9894,20,301746,301755
1546947,SSE-FSR,9894,20,301746,301756
1546948,SSE-KRAS,9616,5,286731,286743
1546948,SSE-ZABA,11684,5,305849,305858
1546948,SSE-CARD,9906,5,389504,389515
1546948,SSE-CARD,9906,5,389504,389516
1546948,SSE-ZABA,11680,3,305848,305859
1546948,SSE-CARD,9906,5,389504,389517
1546948,SSE-CARD,9906,5,389504,389518
1546948,SSE-FSR,9894,7,301746,301757
1546948,SSE-FSR,9894,3,301746,301758
1546948,SSE-FSR,9896,4,301748,301758
1546948,SSE-ZABA,11680,2,305848,305860
1546948,SSE-ZABA,11680,20,305848,305861
1546948,SSE-HT,11153,6,310039,310050
1546948,SSE-FSR,9896,6,301748,301759
1546949,SSE-FSR,9896,20,301748,301760
1546949,SSE-FSR,9896,50,301748,301762
1546949,SSE-HT,11153,44,310039,310051
1546949,SSE-HT,11155,36,310041,310051
1546949,SSE-FSR,9896,20,301748,301763
1546949,SSE-FSR,9898,41,301750,301763
1546949,SSE-HT,11155,80,310041,310052
1546949,SSE-FSR,9898,50,301750,301764
1546949,SSE-SIMP,9980,10,362164,362184
1546949,SSE-SIMP,9977,20,362161,362187
1546950,SSE-CARD,9906,10,389504,389527
1546950,SSE-SIMP,9977,30,362161,362188
1546950,SSE-SIMP,9976,100,362163,362188
1546950,SSE-CARD,9906,20,389504,389529
1546950,SSE-CARD,9907,104,389506,389529
1546950,SSE-ZABA,11683,1,305862,305864
1546950,SSE-KRAS,9620,9,286732,286750
1547062,SSE-ZABA,11683,50,305862,305866
1547062,SSE-ZABA,11683,39,305862,305868
1547062,SSE-SIMP,9972,10,362191,362203
1547062,SSE-CARD,9893,10,389531,389541
1547062,SSE-SIMP,9972,10,362191,362204
1547062,SSE-HT,11149,10,310054,310064
1547062,SSE-ZABA,11683,10,305868,305875
1547063,SSE-HT,11149,12,310054,310065
1547063,SSE-CARD,9893,25,389531,389543
1547063,SSE-CARD,9893,15,389531,389544
1547063,SSE-CARD,9894,10,389533,389544
1547063,SSE-HT,11149,25,310054,310066
1547063,SSE-CARD,9894,25,389533,389546
1547063,SSE-HT,11149,3,310054,310067
1547063,SSE-HT,11151,22,310056,310067
1547063,SSE-CARD,9894,25,389533,389549
1547063,SSE-HT,11151,25,310056,310068
1547063,SSE-CARD,9894,22,389533,389551
1547066,SSE-KRAS,9620,1,286752,286765
1547104,SSE-FSR,9902,6,301776,301788
1547104,SSE-FSR,9902,6,301777,301788
1547104,SSE-FSR,9902,6,301778,301788
1547153,SSE-ZABA,11685,50,305806,305876
1547153,SSE-ZABA,11685,20,305806,305878
1547153,SSE-HT,11159,12,310070,310080
1547154,SSE-HT,11159,4,310070,310081
1547154,SSE-HT,11159,4,310070,310082
1547154,SSE-HT,11159,4,310070,310083
1547154,SSE-HT,11159,4,310070,310084
1547154,SSE-SIMP,9971,1,362213,362225
