index,instrument,open,high,low,close,volume
1546,TMX-CARD,9615,9868,9597,9861,3192
1546,TMX-DDJH,13324,13339,13228,13335,616
1546,TMX-ETFA3,9214,9233,9210,9233,882
1546,TMX-GOLD,8627,8633,8606,8630,306
1546,TMX-HT,11173,11233,11173,11231,1551
1546,TMX-JZRO,12980,13020,12961,12961,1661
1546,TMX-KRAS,9583,9605,9572,9594,880
1546,TMX-KTST,9622,9678,9620,9669,979
1546,TMX-MDKA,9648,9648,9562,9607,2572
1546,TMX-NGUP,8259,8259,8183,8183,840
1546,TMX-SIMP,9981,10006,9981,10001,1021
1546,TMX-XFR,9793,9798,9758,9766,1169
1546,TMX-ZABA,11608,11638,11604,11638,804
1547,TMX-CARD,9864,9986,9864,9965,2922
1547,TMX-DDJH,13398,13435,13347,13375,544
1547,TMX-ETFA3,9233,9253,9229,9241,1202
1547,TMX-GOLD,8632,8638,8619,8619,645
1547,TMX-HT,11216,11234,11185,11212,1315
1547,TMX-JZRO,12975,12991,12939,12953,1808
1547,TMX-KRAS,9594,9625,9580,9617,1029
1547,TMX-KTST,9700,9775,9697,9758,1768
1547,TMX-MDKA,9637,9645,9591,9604,1006
1547,TMX-NGUP,8207,8233,8199,8224,836
1547,TMX-SIMP,10017,10017,9985,9990,802
1547,TMX-XFR,9799,9805,9761,9785,1263
1547,TMX-ZABA,11633,11645,11601,11610,1746
1548,TMX-CARD,9970,9977,9938,9938,1816
1548,TMX-DDJH,13401,13479,13326,13443,1275
1548,TMX-ETFA3,9239,9241,9214,9218,1296
1548,TMX-GOLD,8607,8624,8597,8607,614
1548,TMX-HT,11212,11238,11205,11221,2303
1548,TMX-JZRO,12988,13066,12988,13060,1434
1548,TMX-KRAS,9613,9631,9589,9601,1679
1548,TMX-KTST,9761,9799,9738,9781,1159
1548,TMX-MDKA,9606,9693,9606,9632,2257
1548,TMX-NGUP,8221,8256,8213,8234,1174
1548,TMX-SIMP,9989,10001,9972,10000,1334
1548,TMX-XFR,9785,9815,9783,9791,1681
1548,TMX-ZABA,11617,11715,11611,11695,2667
1549,TMX-CARD,9942,9961,9836,9836,2334
1549,TMX-DDJH,13427,13505,13331,13335,1024
1549,TMX-ETFA3,9218,9247,9214,9245,1249
1549,TMX-GOLD,8606,8663,8596,8663,329
1549,TMX-HT,11201,11201,11158,11170,948
1549,TMX-JZRO,13052,13078,12997,13023,1478
1549,TMX-KRAS,9602,9622,9571,9571,1126
1549,TMX-KTST,9782,9797,9739,9750,1933
1549,TMX-MDKA,9632,9677,9613,9617,1526
1549,TMX-NGUP,8224,8278,8224,8272,1404
1549,TMX-SIMP,10004,10016,9985,10013,743
1549,TMX-XFR,9791,9811,9783,9798,973
1549,TMX-ZABA,11703,11739,11689,11706,1498
1550,TMX-CARD,9837,9856,9732,9754,3872
1550,TMX-DDJH,13328,13328,13261,13281,813
1550,TMX-ETFA3,9254,9282,9245,9280,1032
1550,TMX-GOLD,8663,8667,8634,8663,807
1550,TMX-HT,11173,11206,11173,11198,781
1550,TMX-JZRO,13011,13017,12947,12950,917
1550,TMX-KRAS,9582,9591,9551,9577,1086
1550,TMX-KTST,9741,9745,9719,9745,1057
1550,TMX-MDKA,9636,9676,9573,9579,1042
1550,TMX-NGUP,8259,8282,8255,8274,628
1550,TMX-SIMP,10013,10030,9984,10009,962
1550,TMX-XFR,9803,9837,9803,9837,863
1550,TMX-ZABA,11693,11716,11672,11688,812
1551,TMX-CARD,9775,9790,9619,9713,5986
1551,TMX-DDJH,13313,13432,13257,13426,1715
1551,TMX-ETFA3,9266,9279,9259,9265,1276
1551,TMX-GOLD,8671,8678,8634,8635,697
1551,TMX-HT,11206,11254,11203,11241,2597
1551,TMX-JZRO,12959,13000,12934,12967,2200
1551,TMX-KRAS,9561,9596,9558,9574,3857
1551,TMX-KTST,9745,9752,9705,9705,1885
1551,TMX-MDKA,9595,9645,9591,9638,2198
1551,TMX-NGUP,8267,8279,8245,8245,772
1551,TMX-SIMP,10007,10046,9996,10014,1281
1551,TMX-XFR,9832,9844,9798,9808,1198
1551,TMX-ZABA,11698,11715,11663,11663,2810
1552,TMX-CARD,9696,9933,9452,9481,5389
1552,TMX-DDJH,13445,13463,13322,13463,1089
1552,TMX-ETFA3,9274,9274,9262,9266,682
1552,TMX-GOLD,8620,8625,8582,8594,741
1552,TMX-HT,11226,11228,11187,11223,856
1552,TMX-JZRO,12961,13042,12955,13023,1121
1552,TMX-KRAS,9585,9586,9566,9586,1722
1552,TMX-KTST,9713,9767,9713,9756,1378
1552,TMX-MDKA,9638,9638,9572,9603,1411
1552,TMX-NGUP,8240,8311,8240,8303,538
1552,TMX-SIMP,10027,10029,9997,10016,923
1552,TMX-XFR,9808,9835,9789,9803,1182
1552,TMX-ZABA,11641,11674,11630,11662,972
1553,TMX-CARD,9484,9957,9302,9334,5469
1553,TMX-DDJH,13418,13678,13418,13678,470
1553,TMX-ETFA3,9270,9282,9262,9281,877
1553,TMX-GOLD,8587,8633,8587,8596,1134
1553,TMX-HT,11214,11238,11188,11217,596
1553,TMX-JZRO,13041,13072,13023,13042,1199
1553,TMX-KRAS,9586,9586,9525,9549,1374
1553,TMX-KTST,9760,9780,9727,9761,1779
1553,TMX-MDKA,9599,9619,9570,9594,1541
1553,TMX-NGUP,8305,8316,8285,8314,748
1553,TMX-SIMP,10021,10037,9997,10003,1496
1553,TMX-XFR,9810,9817,9802,9805,910
1553,TMX-ZABA,11662,11702,11647,11696,1152
1554,TMX-CARD,9309,9486,9289,9415,6363
1554,TMX-DDJH,13622,13658,13593,13630,2057
1554,TMX-ETFA3,9281,9290,9260,9282,1478
1554,TMX-GOLD,8602,8631,8582,8585,912
1554,TMX-HT,11238,11261,11211,11259,911
1554,TMX-JZRO,13042,13078,13031,13055,812
1554,TMX-KRAS,9550,9595,9550,9571,980
1554,TMX-KTST,9761,9790,9740,9751,1343
1554,TMX-MDKA,9576,9602,9539,9565,2530
1554,TMX-NGUP,8301,8363,8301,8363,1316
1554,TMX-SIMP,9995,10033,9983,10016,1597
1554,TMX-XFR,9807,9815,9776,9803,1081
1554,TMX-ZABA,11668,11686,11641,11681,1677
1555,TMX-CARD,9426,9474,9408,9474,3628
1555,TMX-DDJH,13631,13691,13601,13615,874
1555,TMX-ETFA3,9286,9296,9280,9282,908
1555,TMX-GOLD,8584,8622,8578,8622,255
1555,TMX-HT,11215,11257,11211,11226,761
1555,TMX-JZRO,13051,13083,13027,13029,457
1555,TMX-KRAS,9565,9588,9542,9588,1012
1555,TMX-KTST,9759,9762,9729,9729,425
1555,TMX-MDKA,9575,9577,9510,9510,1952
1555,TMX-NGUP,8349,8369,8347,8363,826
1555,TMX-SIMP,10020,10030,9982,10027,1228
1555,TMX-XFR,9820,9823,9797,9817,868
1555,TMX-ZABA,11681,11707,11652,11705,768
1556,TMX-CARD,9474,9666,9453,9643,3903
1556,TMX-DDJH,13541,13582,13524,13541,143
1556,TMX-ETFA3,9282,9305,9282,9291,482
1556,TMX-GOLD,8623,8626,8601,8626,215
1556,TMX-HT,11228,11240,11183,11187,880
1556,TMX-JZRO,13039,13039,12936,12969,446
1556,TMX-KRAS,9573,9580,9537,9555,593
1556,TMX-KTST,9729,9732,9714,9720,677
1556,TMX-MDKA,9510,9540,9491,9491,915
1556,TMX-NGUP,8345,8355,8326,8334,694
1556,TMX-SIMP,10031,10059,10023,10038,1984
1556,TMX-XFR,9810,9812,9802,9804,714
1556,TMX-ZABA,11677,11694,11661,11694,921
1557,TMX-CARD,9637,9657,9608,9620,5199
1557,TMX-DDJH,13593,13676,13593,13656,1108
1557,TMX-ETFA3,9295,9312,9289,9298,1833
1557,TMX-GOLD,8626,8691,8624,8671,611
1557,TMX-HT,11198,11250,11194,11220,1879
1557,TMX-JZRO,12966,12966,12891,12891,1517
1557,TMX-KRAS,9530,9538,9488,9534,997
1557,TMX-KTST,9718,9718,9654,9660,1421
1557,TMX-MDKA,9499,9531,9468,9468,1343
1557,TMX-NGUP,8322,8353,8305,8326,917
1557,TMX-SIMP,10063,10068,10005,10014,1556
1557,TMX-XFR,9798,9821,9791,9793,1287
1557,TMX-ZABA,11705,11705,11653,11672,1209
1558,TMX-CARD,9619,9637,9584,9637,4758
1558,TMX-DDJH,13657,13739,13655,13698,1438
1558,TMX-ETFA3,9302,9306,9278,9286,1595
1558,TMX-GOLD,8668,8687,8660,8663,341
1558,TMX-HT,11228,11232,11204,11207,1829
1558,TMX-JZRO,12901,12931,12805,12845,3074
1558,TMX-KRAS,9538,9555,9512,9533,1318
1558,TMX-KTST,9641,9661,9633,9633,1537
1558,TMX-MDKA,9459,9484,9416,9416,1101
1558,TMX-NGUP,8308,8338,8297,8319,776
1558,TMX-SIMP,10036,10040,10010,10025,609
1558,TMX-XFR,9804,9836,9801,9832,1033
1558,TMX-ZABA,11636,11689,11636,11655,496
