index,instrument,open,high,low,close,volume
1546,ZSE-CARD,9710,9982,9690,9981,1854
1546,ZSE-DDJH,13315,13319,13253,13311,857
1546,ZSE-DLKV,9945,9997,9945,9964,1066
1546,ZSE-ETFA,9774,9805,9774,9805,877
1546,ZSE-ETFA3,9247,9251,9236,9243,1073
1546,ZSE-ETFB,11625,11633,11609,11633,1644
1546,ZSE-ETFB3,10823,10850,10818,10827,1392
1546,ZSE-ETFSH,9857,9864,9807,9812,3057
1546,ZSE-FSR,9947,9992,9940,9974,1787
1546,ZSE-GOLD,8541,8593,8538,8568,663
1546,ZSE-HT,11262,11262,11219,11240,866
1546,ZSE-INA,10385,10385,10347,10352,1378
1546,ZSE-JNAF,12604,12612,12574,12587,330
1546,ZSE-JZRO,13054,13054,13005,13005,379
1546,ZSE-KOTD,12203,12246,12176,12198,514
1546,ZSE-KRAS,9607,9610,9589,9601,653
1546,ZSE-KTST,9677,9741,9658,9724,506
1546,ZSE-MDKA,9666,9666,9607,9630,840
1546,ZSE-NGUP,8247,8247,8190,8200,1009
1546,ZSE-OIT,8084,8084,8040,8043,710
1546,ZSE-SIMP,9916,9938,9911,9920,2104
1546,ZSE-XAG,11103,11122,11091,11091,1198
1546,ZSE-XFR,9789,9806,9764,9778,965
1546,ZSE-ZABA,11632,11650,11591,11650,885
1546,ZSE-ZITO,8434,8440,8422,8422,197
1547,ZSE-CARD,9981,10049,9961,10048,1391
1547,ZSE-DDJH,13353,13412,13319,13323,798
1547,ZSE-DLKV,9936,9967,9897,9944,905
1547,ZSE-ETFA,9807,9815,9801,9801,1099
1547,ZSE-ETFA3,9264,9268,9255,9260,648
1547,ZSE-ETFB,11629,11669,11620,11665,1288
1547,ZSE-ETFB3,10831,10883,10823,10881,1718
1547,ZSE-ETFSH,9813,9813,9785,9804,3058
1547,ZSE-FSR,9974,9995,9956,9986,942
1547,ZSE-GOLD,8583,8597,8571,8573,1179
1547,ZSE-HT,11231,11262,11226,11227,734
1547,ZSE-INA,10348,10390,10347,10390,1538
1547,ZSE-JNAF,12612,12664,12607,12658,521
1547,ZSE-JZRO,13001,13010,12931,12937,1120
1547,ZSE-KOTD,12198,12253,12192,12236,776
1547,ZSE-KRAS,9602,9608,9569,9569,697
1547,ZSE-KTST,9724,9785,9724,9785,486
1547,ZSE-MDKA,9638,9689,9630,9657,1044
1547,ZSE-NGUP,8193,8234,8191,8234,1018
1547,ZSE-OIT,8050,8082,8047,8067,1481
1547,ZSE-SIMP,9925,9939,9908,9927,1912
1547,ZSE-XAG,11087,11106,11073,11080,968
1547,ZSE-XFR,9778,9789,9761,9762,1344
1547,ZSE-ZABA,11641,11667,11635,11635,1599
1547,ZSE-ZITO,8425,8457,8422,8445,371
