index,instrument,open,high,low,close,volume
409,Euronext-CARD,10282,10389,10282,10386,75
409,Euronext-DDJH,7951,7967,7890,7890,55
409,Euronext-ETFA,9463,9463,9459,9459,14
409,Euronext-ETFSH,10736,10736,10724,10724,45
409,Euronext-GOLD,10886,10886,10874,10874,9
409,Euronext-INA,9569,9594,9555,9555,18
409,Euronext-JNAF,9415,9426,9415,9426,9
409,Euronext-JZRO,9840,9840,9783,9784,17
409,Euronext-KOTD,10322,10322,10322,10322,9
409,Euronext-KRAS,8581,8603,8581,8586,11
409,Euronext-NGUP,9430,9430,9399,9399,855
409,Euronext-OIT,10061,10061,10061,10061,5
409,Euronext-SIMP,10016,10016,9972,9990,74
409,Euronext-XAG,10602,10613,10597,10597,25
409,Euronext-ZITO,10372,10404,10372,10389,83
410,Euronext-CARD,10395,10406,10193,10198,31
410,Euronext-DDJH,7875,7908,7867,7908,19
410,Euronext-ETFA,9447,9447,9447,9447,8
410,Euronext-ETFSH,10715,10715,10715,10715,2
410,Euronext-GOLD,10917,10917,10894,10898,10
410,Euronext-INA,9557,9557,9488,9488,77
410,Euronext-JNAF,9347,9347,9340,9340,74
410,Euronext-JZRO,9689,9689,9689,9689,8
410,Euronext-KOTD,10277,10277,10275,10275,6
410,Euronext-KRAS,8564,8564,8544,8544,31
410,Euronext-NGUP,9394,9394,9373,9381,19
410,Euronext-OIT,10057,10057,10024,10024,8
410,Euronext-SIMP,9989,9989,9953,9953,31
410,Euronext-XAG,10594,10602,10578,10602,48
410,Euronext-ZITO,10393,10393,10378,10379,35
411,Euronext-CARD,10193,10235,10170,10223,33
411,Euronext-DDJH,7873,7897,7873,7873,30
411,Euronext-ETFA,9465,9465,9456,9456,25
411,Euronext-ETFSH,10756,10756,10756,10756,8
411,Euronext-GOLD,10878,10878,10878,10878,1
411,Euronext-INA,9482,9482,9460,9460,10
411,Euronext-JNAF,9299,9331,9299,9331,16
411,Euronext-JZRO,9569,9569,9569,9569,1
411,Euronext-KOTD,,,,,0
411,Euronext-KRAS,8542,8542,8542,8542,8
411,Euronext-NGUP,9344,9351,9344,9351,15
411,Euronext-OIT,,,,,0
411,Euronext-SIMP,9993,9995,9963,9963,42
411,Euronext-XAG,10617,10633,10617,10629,19
411,Euronext-ZITO,10352,10359,10343,10359,15
412,Euronext-CARD,10231,10378,10212,10359,39
412,Euronext-DDJH,7927,7927,7866,7866,46
412,Euronext-ETFA,9444,9444,9397,9397,40
412,Euronext-ETFSH,10750,10750,10750,10750,1
412,Euronext-GOLD,10906,10906,10874,10874,6
412,Euronext-INA,9451,9451,9451,9451,10
412,Euronext-JNAF,9334,9334,9334,9334,1
412,Euronext-JZRO,9679,9692,9678,9678,9
412,Euronext-KOTD,10178,10189,10178,10185,18
412,Euronext-KRAS,8542,8542,8529,8529,7
