time,instrument,price,quantity,passive_order_id,active_order_id
409175,Euronext-JZRO,9840,2,45269,45279
409175,Euronext-XAG,10602,1,45015,45025
409175,Euronext-JZRO,9840,2,45269,45280
409260,Euronext-CARD,10282,5,48592,48602
409260,Euronext-CARD,10282,5,48592,48603
409260,Euronext-CARD,10282,5,48592,48604
409274,Euronext-JNAF,9426,5,45128,45138
409277,Euronext-SIMP,9988,10,47293,47302
409364,Euronext-CARD,10287,5,48605,48616
409364,Euronext-CARD,10287,5,48605,48617
409364,Euronext-CARD,10287,5,48605,48618
409364,Euronext-SIMP,9988,5,47293,47303
409364,Euronext-SIMP,9988,5,47293,47305
409374,Euronext-GOLD,10886,2,44093,44102
409374,Euronext-KOTD,10322,9,44979,44988
409374,Euronext-ZITO,10383,1,44430,44440
409374,Euronext-DDJH,7967,4,44939,44948
409376,Euronext-SIMP,9986,1,47091,47310
409376,Euronext-ZITO,10392,5,43634,44441
409376,Euronext-ZITO,10397,5,43652,44441
409405,Euronext-ZITO,10404,5,44441,44451
409482,Euronext-CARD,10389,5,48631,48640
409482,Euronext-ETFA,9463,4,42583,42592
409482,Euronext-GOLD,10885,5,44114,44123
409482,Euronext-INA,9594,5,44228,44237
409482,Euronext-JZRO,9803,5,45312,45321
409482,Euronext-KRAS,8603,5,42255,42264
409482,Euronext-NGUP,9430,5,44402,44411
409482,Euronext-OIT,10061,5,41990,41999
409482,Euronext-SIMP,9997,5,47319,47329
409482,Euronext-XAG,10608,5,45061,45070
409482,Euronext-ZITO,10377,5,44452,44462
409510,Euronext-ZITO,10377,5,44452,44463
409577,Euronext-NGUP,9410,50,44027,44415
409577,Euronext-SIMP,9979,5,47307,47331
409577,Euronext-SIMP,9972,5,47076,47331
409585,Euronext-CARD,10380,5,48645,48654
409586,Euronext-ZITO,10375,5,44464,44474
409614,Euronext-SIMP,9972,10,47331,47341
409646,Euronext-CARD,10378,10,48644,48656
409646,Euronext-DDJH,7935,10,44970,44981
409646,Euronext-ETFA,9459,10,42594,42606
409674,Euronext-ETFSH,10736,5,41888,42401
409674,Euronext-ETFSH,10736,5,41909,42401
409674,Euronext-ETFSH,10736,5,41940,42401
409674,Euronext-ETFSH,10736,5,42032,42401
409674,Euronext-ETFSH,10735,5,41814,42401
409674,Euronext-ETFSH,10724,5,41780,42401
409674,Euronext-ETFSH,10724,5,41801,42401
409674,Euronext-ETFSH,10724,5,42053,42401
409674,Euronext-ETFSH,10724,5,42389,42401
409675,Euronext-JZRO,9783,6,45322,45332
409675,Euronext-XAG,10613,5,45074,45084
409675,Euronext-SIMP,9972,5,47331,47342
409677,Euronext-SIMP,9979,5,47340,47343
409702,Euronext-CARD,10360,5,48661,48670
409703,Euronext-SIMP,9985,5,47343,47353
409703,Euronext-XAG,10601,5,45086,45097
409703,Euronext-ZITO,10377,5,44475,44485
409716,Euronext-ZITO,10377,5,44475,44486
409775,Euronext-DDJH,7916,11,44982,44993
409775,Euronext-INA,9555,3,44253,44263
409775,Euronext-XAG,10597,9,45085,45098
409807,Euronext-CARD,10388,5,48673,48682
409807,Euronext-ZITO,10387,5,44487,44497
409822,Euronext-ZITO,10387,5,44487,44498
409822,Euronext-ZITO,10387,5,44487,44499
409837,Euronext-CARD,10386,5,48672,48683
409837,Euronext-CARD,10386,5,48672,48684
409837,Euronext-CARD,10386,5,48672,48685
409851,Euronext-SIMP,9990,1,47355,47371
409877,Euronext-NGUP,9409,50,44035,44445
409877,Euronext-NGUP,9407,100,44037,44447
409877,Euronext-NGUP,9405,150,44039,44449
409877,Euronext-NGUP,9405,50,44045,44451
409877,Euronext-NGUP,9403,100,44047,44451
409877,Euronext-NGUP,9401,50,44049,44451
409877,Euronext-SIMP,9990,5,47364,47372
409950,Euronext-ZITO,10389,5,44500,44510
409950,Euronext-ZITO,10389,5,44500,44511
409950,Euronext-ZITO,10389,5,44500,44512
409975,Euronext-KRAS,8586,2,42299,42309
409975,Euronext-GOLD,10874,1,44154,44164
409975,Euronext-JZRO,9784,2,45354,45363
409975,Euronext-GOLD,10874,1,44154,44165
