index,instrument,open,high,low,close,volume
122,HKEX-CARD,9829,10071,9827,10051,610
122,HKEX-DLKV,9755,9776,9750,9768,60
122,HKEX-ETFA,9891,9891,9872,9884,410
122,HKEX-ETFB,9728,9775,9727,9773,641
122,HKEX-ETFB3,9691,9702,9687,9702,333
122,HKEX-FSR,9791,9791,9750,9766,135
122,HKEX-INA,9780,9783,9744,9779,426
122,HKEX-JNAF,9379,9379,9337,9366,2817
122,HKEX-KOTD,9636,9652,9616,9646,175
122,HKEX-MDKA,9834,9834,9786,9827,270
122,HKEX-OIT,9881,9908,9874,9902,68
122,HKEX-SIMP,9975,9995,9972,9973,625
122,HKEX-XFR,10046,10071,10046,10062,133
123,HKEX-CARD,10051,10051,9993,9996,781
123,HKEX-DLKV,9775,9794,9721,9731,566
123,HKEX-ETFA,9884,9884,9866,9868,536
123,HKEX-ETFB,9773,9776,9756,9768,497
123,HKEX-ETFB3,9704,9723,9698,9723,314
123,HKEX-FSR,9759,9759,9700,9715,336
123,HKEX-INA,9779,9786,9701,9727,521
123,HKEX-JNAF,9366,9407,9336,9407,2815
123,HKEX-KOTD,9642,9667,9630,9667,615
123,HKEX-MDKA,9823,9827,9685,9685,575
123,HKEX-OIT,9886,9903,9866,9878,342
123,HKEX-SIMP,9973,9989,9961,9981,787
123,HKEX-XFR,10051,10073,10034,10073,412
124,HKEX-CARD,9993,10301,9993,10287,592
124,HKEX-DLKV,9733,9750,9722,9725,197
124,HKEX-ETFA,9868,9884,9866,9881,305
124,HKEX-ETFB,9768,9777,9767,9775,710
124,HKEX-ETFB3,9722,9729,9714,9729,402
124,HKEX-FSR,9719,9757,9702,9734,106
124,HKEX-INA,9730,9730,9663,9663,520
124,HKEX-JNAF,9407,9460,9407,9433,1640
124,HKEX-KOTD,9668,9671,9624,9649,144
124,HKEX-MDKA,9743,9779,9719,9779,107
124,HKEX-OIT,9866,9896,9866,9896,111
124,HKEX-SIMP,9964,9981,9935,9958,1330
124,HKEX-XFR,10073,10080,10056,10077,132
125,HKEX-CARD,10276,10380,10276,10361,607
125,HKEX-DLKV,9722,9726,9705,9717,354
125,HKEX-ETFA,9881,9905,9881,9898,143
125,HKEX-ETFB,9777,9783,9738,9739,372
125,HKEX-ETFB3,9727,9730,9687,9688,618
125,HKEX-FSR,9752,9811,9752,9790,163
125,HKEX-INA,9651,9709,9651,9705,380
125,HKEX-JNAF,9431,9465,9410,9411,382
125,HKEX-KOTD,9657,9705,9645,9705,990
125,HKEX-MDKA,9746,9858,9746,9858,76
125,HKEX-OIT,9912,9912,9847,9847,320
125,HKEX-SIMP,9959,9970,9937,9957,463
125,HKEX-XFR,10085,10116,10085,10111,371
126,HKEX-CARD,10359,10410,10304,10304,1253
126,HKEX-DLKV,9711,9743,9704,9730,252
126,HKEX-ETFA,9900,9900,9881,9899,418
126,HKEX-ETFB,9739,9755,9738,9745,390
126,HKEX-ETFB3,9710,9710,9699,9699,248
126,HKEX-FSR,9789,9814,9782,9809,148
126,HKEX-INA,9705,9722,9680,9694,450
126,HKEX-JNAF,9415,9431,9394,9416,444
126,HKEX-KOTD,9705,9709,9649,9657,344
126,HKEX-MDKA,9884,9911,9851,9907,97
126,HKEX-OIT,9847,9889,9828,9828,336
126,HKEX-SIMP,9958,9978,9949,9973,718
126,HKEX-XFR,10094,10126,10094,10109,470
127,HKEX-CARD,10304,10304,10169,10190,383
127,HKEX-DLKV,9735,9774,9735,9761,293
127,HKEX-ETFA,9899,9903,9880,9880,229
127,HKEX-ETFB,9745,9745,9718,9724,471
127,HKEX-ETFB3,9701,9701,9672,9688,340
127,HKEX-FSR,9809,9817,9791,9791,218
127,HKEX-INA,9689,9734,9689,9699,426
127,HKEX-JNAF,9416,9423,9394,9403,191
127,HKEX-KOTD,9653,9703,9653,9698,155
127,HKEX-MDKA,9868,10022,9864,10018,300
127,HKEX-OIT,9828,9876,9828,9860,359
127,HKEX-SIMP,9987,10004,9981,10004,786
127,HKEX-XFR,10105,10126,10097,10126,164
128,HKEX-CARD,10202,10392,10188,10370,1184
128,HKEX-DLKV,9788,9819,9785,9819,517
128,HKEX-ETFA,9880,9906,9880,9906,460
128,HKEX-ETFB,9727,9744,9726,9738,488
128,HKEX-ETFB3,9690,9715,9688,9714,484
128,HKEX-FSR,9821,9834,9791,9796,562
128,HKEX-INA,9717,9765,9704,9742,599
128,HKEX-JNAF,9381,9381,9355,9364,621
128,HKEX-KOTD,9682,9682,9664,9668,334
128,HKEX-MDKA,10031,10093,10031,10053,583
128,HKEX-OIT,9845,9866,9827,9829,687
128,HKEX-SIMP,10004,10004,9976,9994,1492
128,HKEX-XFR,10102,10102,10036,10036,306
129,HKEX-CARD,10373,10376,10323,10328,931
129,HKEX-DLKV,9820,9870,9820,9856,613
129,HKEX-ETFA,9906,9908,9902,9908,186
129,HKEX-ETFB,9738,9740,9735,9735,271
129,HKEX-ETFB3,9704,9725,9692,9722,514
129,HKEX-FSR,9793,9813,9765,9795,400
129,HKEX-INA,9742,9778,9728,9728,720
129,HKEX-JNAF,9377,9377,9330,9330,624
129,HKEX-KOTD,9664,9686,9664,9686,167
129,HKEX-MDKA,10057,10057,9984,9988,237
129,HKEX-OIT,9830,9846,9818,9832,592
129,HKEX-SIMP,9963,10011,9961,9994,939
129,HKEX-XFR,10054,10074,10050,10054,82
130,HKEX-CARD,10328,10328,10124,10131,842
130,HKEX-DLKV,9856,9869,9837,9837,266
130,HKEX-ETFA,9904,9908,9886,9899,171
130,HKEX-ETFB,9735,9765,9735,9736,701
130,HKEX-ETFB3,9725,9742,9722,9742,709
130,HKEX-FSR,9809,9818,9778,9818,143
130,HKEX-INA,9754,9754,9722,9731,231
130,HKEX-JNAF,9328,9328,9284,9294,2938
130,HKEX-KOTD,9691,9712,9666,9712,119
130,HKEX-MDKA,9984,9984,9949,9984,205
130,HKEX-OIT,9829,9862,9780,9822,262
130,HKEX-SIMP,9992,10038,9989,10006,279
130,HKEX-XFR,10044,10060,10021,10021,99
131,HKEX-CARD,10131,10321,10131,10313,1075
131,HKEX-DLKV,9825,9856,9813,9855,439
131,HKEX-ETFA,9899,9911,9897,9911,799
131,HKEX-ETFB,9736,9757,9734,9752,290
131,HKEX-ETFB3,9741,9763,9741,9763,1164
131,HKEX-FSR,9818,9828,9785,9826,526
131,HKEX-INA,9735,9782,9723,9757,629
131,HKEX-JNAF,9293,9305,9271,9284,3275
131,HKEX-KOTD,9722,9722,9659,9691,165
131,HKEX-MDKA,9984,9992,9914,9914,764
131,HKEX-OIT,9850,9866,9837,9858,75
131,HKEX-SIMP,10003,10014,9970,9987,1149
131,HKEX-XFR,10033,10033,9996,10018,160
132,HKEX-CARD,10312,10315,10264,10267,462
132,HKEX-DLKV,9855,9855,9821,9827,146
132,HKEX-ETFA,9912,9913,9903,9913,313
132,HKEX-ETFB,9752,9754,9734,9734,257
132,HKEX-ETFB3,9763,9772,9740,9740,251
132,HKEX-FSR,9826,9826,9747,9747,195
132,HKEX-INA,9757,9783,9748,9762,694
132,HKEX-JNAF,9294,9295,9270,9295,3658
132,HKEX-KOTD,9692,9692,9659,9659,1235
132,HKEX-MDKA,9931,10009,9895,9999,357
132,HKEX-OIT,9840,9873,9819,9836,210
132,HKEX-SIMP,9988,10001,9979,9987,790
132,HKEX-XFR,10007,10011,9972,9972,229
133,HKEX-CARD,10252,10253,9993,9993,1541
133,HKEX-DLKV,9827,9843,9796,9796,235
133,HKEX-ETFA,9911,9915,9904,9909,201
133,HKEX-ETFB,9734,9734,9716,9716,269
133,HKEX-ETFB3,9742,9761,9740,9761,431
133,HKEX-FSR,9767,9805,9740,9794,322
133,HKEX-INA,9764,9834,9764,9819,1091
133,HKEX-JNAF,9284,9306,9284,9306,4662
133,HKEX-KOTD,9660,9694,9659,9672,4325
133,HKEX-MDKA,10000,10087,10000,10087,521
133,HKEX-OIT,9828,9844,9807,9828,414
133,HKEX-SIMP,9989,10005,9975,10005,368
133,HKEX-XFR,9972,9996,9961,9996,183
134,HKEX-CARD,9993,10128,9977,10122,2201
134,HKEX-DLKV,9811,9828,9793,9828,335
134,HKEX-ETFA,9911,9913,9904,9906,580
134,HKEX-ETFB,9712,9715,9699,9699,474
134,HKEX-ETFB3,9761,9768,9748,9757,640
134,HKEX-FSR,9803,9845,9802,9802,557
134,HKEX-INA,9815,9821,9764,9782,879
134,HKEX-JNAF,9306,9311,9277,9294,2168
134,HKEX-KOTD,9676,9689,9670,9679,3343
134,HKEX-MDKA,10096,10122,10069,10110,788
134,HKEX-OIT,9838,9838,9796,9807,618
134,HKEX-SIMP,10019,10019,9983,10004,670
134,HKEX-XFR,9980,10012,9969,9985,541
135,HKEX-CARD,10122,10359,10118,10329,1390
135,HKEX-DLKV,9804,9814,9774,9777,265
135,HKEX-ETFA,9910,9910,9891,9900,585
135,HKEX-ETFB,9706,9718,9706,9718,187
