index,instrument,open,high,low,close,volume
122,LSE-CARD,9898,10120,9892,10079,1720
122,LSE-DDJH,10136,10220,10105,10120,1267
122,LSE-DLKV,9818,9818,9781,9791,943
122,LSE-ETFB,9760,9791,9759,9780,1018
122,LSE-FSR,9684,9701,9656,9690,464
122,LSE-HT,9932,9938,9880,9890,444
122,LSE-JZRO,10393,10448,10382,10448,256
122,LSE-KOTD,9658,9663,9621,9632,341
122,LSE-MDKA,9958,9958,9853,9883,927
122,LSE-OIT,9959,9974,9956,9966,191
122,LSE-SIMP,10054,10077,10054,10062,3008
122,LSE-XAG,10243,10268,10216,10228,151
122,LSE-ZABA,9624,9633,9596,9618,1378
122,LSE-ZITO,9953,9975,9943,9975,2696
123,LSE-CARD,10098,10109,10060,10088,839
123,LSE-DDJH,10190,10190,10021,10049,502
123,LSE-DLKV,9779,9808,9752,9765,255
123,LSE-ETFB,9778,9811,9777,9792,595
123,LSE-FSR,9697,9713,9657,9659,168
123,LSE-HT,9871,9893,9821,9834,439
123,LSE-JZRO,10460,10460,10309,10311,265
123,LSE-KOTD,9638,9657,9613,9618,187
123,LSE-MDKA,9875,9903,9816,9816,1311
123,LSE-OIT,9978,9978,9930,9930,33
123,LSE-SIMP,10057,10064,10040,10051,741
123,LSE-XAG,10214,10253,10202,10253,409
123,LSE-ZABA,9611,9618,9590,9607,2363
123,LSE-ZITO,9975,9977,9940,9940,4974
124,LSE-CARD,10089,10385,10089,10384,777
124,LSE-DDJH,10039,10056,9947,9947,495
124,LSE-DLKV,9754,9788,9707,9786,445
124,LSE-ETFB,9792,9800,9778,9778,406
124,LSE-FSR,9662,9724,9644,9724,228
124,LSE-HT,9830,9867,9830,9860,276
124,LSE-JZRO,10333,10411,10285,10411,221
124,LSE-KOTD,9616,9631,9600,9630,223
124,LSE-MDKA,9816,9884,9782,9884,281
124,LSE-OIT,9920,9938,9873,9938,121
124,LSE-SIMP,10062,10076,10027,10076,187
124,LSE-XAG,10249,10258,10235,10246,1754
124,LSE-ZABA,9600,9613,9594,9609,563
124,LSE-ZITO,9928,9971,9928,9955,482
125,LSE-CARD,10408,10451,10376,10434,469
125,LSE-DDJH,9929,10025,9929,10025,3177
125,LSE-DLKV,9756,9759,9740,9755,406
125,LSE-ETFB,9768,9775,9751,9756,565
125,LSE-FSR,9723,9768,9715,9764,212
125,LSE-HT,9841,9891,9832,9891,289
125,LSE-JZRO,10406,10410,10349,10372,245
125,LSE-KOTD,9632,9671,9621,9671,323
125,LSE-MDKA,9911,9928,9844,9926,947
125,LSE-OIT,9940,9940,9928,9933,69
125,LSE-SIMP,10054,10084,10052,10084,1554
125,LSE-XAG,10235,10240,10196,10200,5237
125,LSE-ZABA,9608,9641,9600,9641,520
125,LSE-ZITO,9956,10000,9956,10000,2362
126,LSE-CARD,10484,10484,10386,10386,484
126,LSE-DDJH,10025,10129,9963,9963,3699
126,LSE-DLKV,9761,9762,9724,9761,1995
126,LSE-ETFB,9756,9758,9719,9732,697
126,LSE-FSR,9774,9788,9742,9750,323
126,LSE-HT,9904,9911,9843,9855,353
126,LSE-JZRO,10353,10385,10275,10275,193
126,LSE-KOTD,9672,9679,9616,9637,1163
126,LSE-MDKA,9945,9970,9910,9954,324
126,LSE-OIT,9901,9914,9886,9908,393
126,LSE-SIMP,10084,10088,10081,10084,217
126,LSE-XAG,10230,10244,10215,10242,685
126,LSE-ZABA,9643,9658,9608,9626,468
126,LSE-ZITO,10023,10034,9984,9984,1046
127,LSE-CARD,10386,10413,10264,10288,310
127,LSE-DDJH,9963,10074,9963,10036,374
127,LSE-DLKV,9763,9772,9735,9754,2838
127,LSE-ETFB,9732,9748,9708,9748,470
127,LSE-FSR,9750,9773,9750,9764,204
127,LSE-HT,9855,9871,9843,9863,173
127,LSE-JZRO,10275,10354,10275,10354,84
127,LSE-KOTD,9637,9672,9618,9651,354
127,LSE-MDKA,9958,10008,9918,10008,237
127,LSE-OIT,9910,9928,9886,9914,198
127,LSE-SIMP,10076,10099,10076,10099,835
127,LSE-XAG,10226,10242,10187,10187,1274
127,LSE-ZABA,9623,9650,9619,9637,2006
127,LSE-ZITO,9984,9987,9956,9980,362
128,LSE-CARD,10289,10496,10284,10489,609
