index,instrument,open,high,low,close,volume
408,NASDAQ-CARD,9991,10233,9968,10233,377
408,NASDAQ-DLKV,9989,10014,9968,10014,119
408,NASDAQ-ETFB,9476,9483,9476,9476,80
408,NASDAQ-ETFB3,9930,9930,9926,9926,35
408,NASDAQ-FSR,8853,8886,8853,8874,107
408,NASDAQ-GOLD,10801,10816,10780,10784,58
408,NASDAQ-HT,9852,9867,9841,9867,36
408,NASDAQ-INA,9631,9631,9614,9620,36
408,NASDAQ-KOTD,10231,10272,10229,10272,30
408,NASDAQ-NGUP,9395,9404,9357,9388,63
408,NASDAQ-SIMP,10004,10039,9967,10006,193
408,NASDAQ-ZITO,10260,10268,10252,10252,21
409,NASDAQ-CARD,10230,10255,10215,10255,59
409,NASDAQ-DLKV,9950,10048,9950,10023,65
409,NASDAQ-ETFB,9483,9488,9481,9488,86
409,NASDAQ-ETFB3,9930,9965,9930,9965,88
409,NASDAQ-FSR,8870,8889,8857,8880,129
409,NASDAQ-GOLD,10820,10865,10820,10865,23
409,NASDAQ-HT,9893,9917,9885,9885,45
409,NASDAQ-INA,,,,,0
409,NASDAQ-KOTD,10250,10339,10250,10339,34
409,NASDAQ-NGUP,9391,9418,9391,9404,21
409,NASDAQ-SIMP,10018,10022,9997,10009,95
409,NASDAQ-ZITO,10257,10281,10256,10256,25
410,NASDAQ-CARD,10313,10351,10221,10221,141
410,NASDAQ-DLKV,10031,10050,9975,9975,62
410,NASDAQ-ETFB,9493,9499,9493,9499,50
410,NASDAQ-ETFB3,9941,9941,9938,9938,25
410,NASDAQ-FSR,8864,8880,8860,8860,55
410,NASDAQ-GOLD,10893,10897,10893,10897,10
410,NASDAQ-HT,9881,9881,9832,9832,47
410,NASDAQ-INA,9653,9653,9619,9631,126
410,NASDAQ-KOTD,10299,10317,10258,10280,55
410,NASDAQ-NGUP,9386,9386,9311,9311,50
410,NASDAQ-SIMP,9994,10011,9986,10010,66
410,NASDAQ-ZITO,10275,10284,10266,10271,41
411,NASDAQ-CARD,10138,10173,10138,10173,79
411,NASDAQ-DLKV,9975,9975,9944,9964,64
411,NASDAQ-ETFB,9499,9521,9499,9521,123
411,NASDAQ-ETFB3,9956,10004,9956,10000,126
411,NASDAQ-FSR,8858,8870,8809,8809,64
411,NASDAQ-GOLD,10878,10891,10868,10891,50
411,NASDAQ-HT,9859,9874,9829,9829,50
411,NASDAQ-INA,9631,9631,9582,9582,52
411,NASDAQ-KOTD,10258,10258,10195,10195,40
411,NASDAQ-NGUP,9339,9339,9283,9289,43
411,NASDAQ-SIMP,10000,10020,9989,10020,103
411,NASDAQ-ZITO,10264,10264,10241,10241,23
412,NASDAQ-CARD,10173,10196,10142,10196,143
412,NASDAQ-DLKV,9966,9966,9948,9948,41
412,NASDAQ-ETFB,9519,9537,9517,9517,79
412,NASDAQ-ETFB3,10000,10000,9979,9979,115
412,NASDAQ-FSR,8817,8851,8817,8851,32
412,NASDAQ-GOLD,10912,10934,10841,10841,63
412,NASDAQ-HT,9826,9826,9786,9826,113
412,NASDAQ-INA,9574,9574,9517,9537,76
412,NASDAQ-KOTD,10195,10198,10179,10198,41
412,NASDAQ-NGUP,9290,9347,9279,9347,82
412,NASDAQ-SIMP,10022,10047,10012,10047,322
412,NASDAQ-ZITO,10241,10241,10219,10238,41
413,NASDAQ-CARD,10278,10321,10126,10126,187
413,NASDAQ-DLKV,9942,9960,9927,9960,81
413,NASDAQ-ETFB,9514,9514,9451,9451,114
413,NASDAQ-ETFB3,9979,9979,9916,9916,103
