time,instrument,price,quantity,passive_order_id,active_order_id
408125,NASDAQ-NGUP,9400,3,45741,45751
408125,NASDAQ-NGUP,9404,3,45742,45752
408125,NASDAQ-DLKV,9991,5,46849,46971
408126,NASDAQ-GOLD,10808,5,46425,46518
408127,NASDAQ-INA,9618,5,47316,47513
408159,NASDAQ-DLKV,9993,5,46971,46981
408159,NASDAQ-DLKV,9993,5,46971,46982
408204,NASDAQ-CARD,9976,50,50929,50938
408204,NASDAQ-CARD,9977,100,50931,50938
408204,NASDAQ-CARD,9978,50,50933,50938
408204,NASDAQ-DLKV,9993,5,46971,46983
408225,NASDAQ-ZITO,10260,5,43986,43996
408225,NASDAQ-DLKV,9995,3,46972,46984
408226,NASDAQ-CARD,9987,5,50939,50940
408226,NASDAQ-FSR,8857,5,47639,47640
408227,NASDAQ-FSR,8874,5,47640,47650
408227,NASDAQ-SIMP,10005,5,49703,49713
408227,NASDAQ-ETFB,9476,5,46801,46811
408326,NASDAQ-DLKV,9989,4,46986,46996
408326,NASDAQ-GOLD,10784,5,46448,46545
408327,NASDAQ-SIMP,10013,1,49691,49714
408333,NASDAQ-FSR,8874,5,47652,47662
408333,NASDAQ-SIMP,10016,5,49714,49724
408350,NASDAQ-ETFB,9476,5,46812,46822
408350,NASDAQ-ETFB,9476,5,46812,46823
408408,NASDAQ-GOLD,10782,5,46545,46554
408408,NASDAQ-GOLD,10782,5,46545,46555
408408,NASDAQ-GOLD,10782,5,46545,46556
408425,NASDAQ-GOLD,10780,3,45426,46557
408425,NASDAQ-FSR,8874,4,47652,47665
408425,NASDAQ-DLKV,9980,7,46998,47008
408425,NASDAQ-SIMP,10018,6,49715,49725
408425,NASDAQ-ETFB3,9930,6,45807,45816
408425,NASDAQ-ZITO,10256,6,44008,44017
408425,NASDAQ-NGUP,9404,2,45774,45783
408426,NASDAQ-INA,9614,5,47542,47543
408427,NASDAQ-KOTD,10231,5,47324,47416
408427,NASDAQ-NGUP,9367,5,45679,45785
408427,NASDAQ-NGUP,9357,5,45680,45785
408427,NASDAQ-SIMP,10030,5,49664,49726
408427,NASDAQ-SIMP,10032,5,49424,49726
408427,NASDAQ-SIMP,10033,5,49613,49726
408427,NASDAQ-SIMP,10037,1,46232,49726
408427,NASDAQ-SIMP,10037,5,49581,49726
408440,NASDAQ-CARD,9973,5,50962,50971
408440,NASDAQ-DLKV,9973,5,47010,47019
408440,NASDAQ-ETFB3,9930,5,45807,45817
408440,NASDAQ-FSR,8882,5,47666,47677
408440,NASDAQ-GOLD,10811,5,46559,46568
408440,NASDAQ-HT,9841,5,43739,43748
408440,NASDAQ-KOTD,10229,5,47416,47425
408440,NASDAQ-NGUP,9357,5,45785,45794
408468,NASDAQ-ETFB,9476,5,46824,46835
408481,NASDAQ-DLKV,9973,10,47010,47022
408495,NASDAQ-SIMP,10039,5,49726,49738
408495,NASDAQ-SIMP,10039,5,49726,49740
408509,NASDAQ-NGUP,9357,5,45785,45795
408509,NASDAQ-NGUP,9357,5,45785,45796
408510,NASDAQ-CARD,9973,5,50962,50977
408510,NASDAQ-DLKV,9973,5,47010,47024
408525,NASDAQ-ETFB,9476,5,46834,46840
408525,NASDAQ-ETFB,9476,5,46838,46840
408526,NASDAQ-FSR,8886,5,47627,47679
408526,NASDAQ-FSR,8886,1,47667,47679
408526,NASDAQ-CARD,9978,5,50960,50978
408526,NASDAQ-CARD,9981,10,50973,50978
408526,NASDAQ-CARD,9990,5,50974,50978
408526,NASDAQ-FSR,8874,5,47676,47681
408527,NASDAQ-SIMP,10007,1,49743,49745
408527,NASDAQ-ZITO,10268,5,44028,44030
408527,NASDAQ-FSR,8870,5,47681,47690
408527,NASDAQ-GOLD,10816,5,46569,46580
408527,NASDAQ-KOTD,10241,5,47427,47436
408527,NASDAQ-NGUP,9376,5,45798,45807
408527,NASDAQ-SIMP,10006,5,49745,49754
408595,NASDAQ-SIMP,10006,10,49745,49758
408625,NASDAQ-ETFB,9478,5,46800,46851
408625,NASDAQ-ETFB,9482,10,46837,46851
408625,NASDAQ-ETFB3,9930,3,45829,45840
408625,NASDAQ-FSR,8870,8,47681,47693
408626,NASDAQ-INA,9624,5,47554,47566
