time,instrument,price,quantity,passive_order_id,active_order_id
408079,NSE-OIT,10074,3,46947,46960
408079,NSE-ZABA,9311,5,45409,45419
408079,NSE-CARD,9986,10,51840,51843
408117,NSE-ZABA,9324,5,45420,45430
408179,NSE-DLKV,9963,8,48315,48324
408179,NSE-SIMP,9989,7,50809,50818
408180,NSE-DLKV,9964,5,48103,48325
408180,NSE-OIT,10073,10,46957,46973
408180,NSE-OIT,10056,5,46815,46973
408180,NSE-OIT,10054,5,46804,46973
408189,NSE-CARD,9978,10,51855,51864
408189,NSE-CARD,9978,40,51855,51865
408189,NSE-CARD,9979,100,51857,51865
408189,NSE-CARD,9980,60,51859,51865
408246,NSE-CARD,9976,5,51854,51866
408246,NSE-SIMP,9978,1,50820,50829
408279,NSE-ZABA,9329,4,45432,45442
408279,NSE-OIT,10044,1,46973,46983
408280,NSE-OIT,10040,5,46791,46985
408280,NSE-ZABA,9347,5,45441,45443
408280,NSE-ZITO,10295,5,46797,46798
408335,NSE-ZABA,9353,5,45443,45453
408335,NSE-ZITO,10301,5,46798,46808
408394,NSE-SIMP,9977,5,50841,50851
408426,NSE-ZABA,9349,5,45454,45464
408426,NSE-ZITO,10302,5,46809,46819
408479,NSE-ZABA,9353,5,45455,45465
408479,NSE-CARD,9990,5,51878,51895
408479,NSE-CARD,9991,5,51853,51895
408479,NSE-CARD,9996,10,51841,51895
408479,NSE-CARD,9998,5,51890,51895
408479,NSE-CARD,10008,5,51892,51895
408479,NSE-CARD,10018,5,51894,51895
408479,NSE-CARD,10092,5,51757,51895
408479,NSE-CARD,10094,5,51745,51895
408479,NSE-CARD,10108,5,51723,51895
408479,NSE-CARD,10109,5,51734,51897
408479,NSE-CARD,10112,10,51722,51897
408479,NSE-CARD,10136,5,51708,51897
408480,NSE-DLKV,9993,5,47952,48355
408480,NSE-SIMP,9975,1,50728,50856
408528,NSE-OIT,10053,5,47006,47016
408528,NSE-ZITO,10296,5,46820,46830
408579,NSE-ZABA,9346,5,45466,45476
408579,NSE-DLKV,9995,5,48355,48365
408580,NSE-ZABA,9357,5,44992,45477
408580,NSE-ZABA,9357,5,45061,45477
408580,NSE-ZABA,9358,5,44980,45477
