index,instrument,open,high,low,close,volume
122,NYSE-CARD,9884,10086,9866,10073,1339
122,NYSE-DDJH,10172,10211,10122,10161,835
122,NYSE-ETFA,9876,9891,9868,9890,727
122,NYSE-ETFA3,9798,9817,9794,9812,455
122,NYSE-INA,9802,9822,9776,9795,410
122,NYSE-JNAF,9391,9416,9356,9356,4766
122,NYSE-JZRO,10381,10396,10345,10396,544
122,NYSE-KRAS,9750,9750,9694,9703,416
122,NYSE-KTST,9744,9789,9732,9779,1870
122,NYSE-MDKA,9859,9859,9752,9764,254
122,NYSE-NGUP,9721,9723,9642,9684,2293
122,NYSE-SIMP,10025,10059,10024,10059,2000
122,NYSE-XFR,10043,10064,10028,10057,472
122,NYSE-ZABA,9578,9595,9571,9593,4298
123,NYSE-CARD,10073,10094,10047,10054,781
123,NYSE-DDJH,10131,10131,10022,10026,664
123,NYSE-ETFA,9891,9900,9888,9891,625
123,NYSE-ETFA3,9812,9824,9808,9824,529
123,NYSE-INA,9801,9804,9734,9740,442
123,NYSE-JNAF,9356,9368,9348,9368,3627
123,NYSE-JZRO,10403,10424,10271,10271,868
123,NYSE-KRAS,9685,9719,9682,9683,632
123,NYSE-KTST,9779,9790,9768,9768,4047
123,NYSE-MDKA,9777,9812,9739,9759,208
123,NYSE-NGUP,9684,9723,9677,9681,379
123,NYSE-SIMP,10061,10061,10030,10040,393
123,NYSE-XFR,10061,10061,10028,10060,154
123,NYSE-ZABA,9593,9633,9593,9631,2524
124,NYSE-CARD,10050,10349,10048,10338,424
124,NYSE-DDJH,10021,10065,9941,9977,749
124,NYSE-ETFA,9891,9921,9891,9901,1317
124,NYSE-ETFA3,9815,9844,9815,9827,733
124,NYSE-INA,9752,9754,9727,9733,300
124,NYSE-JNAF,9368,9406,9358,9405,3530
124,NYSE-JZRO,10291,10330,10217,10330,626
124,NYSE-KRAS,9678,9685,9654,9685,328
124,NYSE-KTST,9768,9780,9702,9702,4714
124,NYSE-MDKA,9727,9779,9690,9779,269
124,NYSE-NGUP,9673,9734,9672,9733,1062
124,NYSE-SIMP,10046,10064,10030,10042,433
124,NYSE-XFR,10061,10070,10023,10042,223
124,NYSE-ZABA,9617,9666,9613,9638,402
125,NYSE-CARD,10331,10418,10328,10415,933
125,NYSE-DDJH,10010,10071,9963,10007,599
125,NYSE-ETFA,9905,9936,9905,9920,309
125,NYSE-ETFA3,9827,9848,9825,9848,372
125,NYSE-INA,9725,9749,9707,9747,436
125,NYSE-JNAF,9397,9410,9397,9410,954
125,NYSE-JZRO,10332,10332,10292,10308,743
125,NYSE-KRAS,9695,9731,9672,9696,171
125,NYSE-KTST,9734,9736,9711,9736,507
125,NYSE-MDKA,9790,9802,9753,9783,96
125,NYSE-NGUP,9733,9799,9733,9764,1522
125,NYSE-SIMP,10056,10067,10034,10034,309
125,NYSE-XFR,10057,10087,10041,10071,174
125,NYSE-ZABA,9637,9682,9637,9665,58
126,NYSE-CARD,10416,10444,10348,10359,1246
126,NYSE-DDJH,9993,10131,9973,10043,1549
126,NYSE-ETFA,9916,9917,9876,9880,350
126,NYSE-ETFA3,9848,9852,9825,9825,272
126,NYSE-INA,9740,9759,9699,9699,386
126,NYSE-JNAF,9411,9412,9381,9401,224
126,NYSE-JZRO,10310,10310,10212,10215,896
126,NYSE-KRAS,9698,9734,9694,9734,215
126,NYSE-KTST,9744,9744,9686,9727,1012
126,NYSE-MDKA,9808,9873,9764,9819,188
126,NYSE-NGUP,9783,9810,9747,9806,617
126,NYSE-SIMP,10037,10039,10002,10031,1203
126,NYSE-XFR,10087,10102,10055,10055,420
126,NYSE-ZABA,9674,9679,9665,9665,49
127,NYSE-CARD,10343,10409,10244,10245,1518
127,NYSE-DDJH,10043,10066,9990,10047,216
127,NYSE-ETFA,9882,9916,9882,9916,297
127,NYSE-ETFA3,9821,9850,9821,9846,508
127,NYSE-INA,9699,9722,9691,9708,458
127,NYSE-JNAF,9404,9418,9398,9406,510
127,NYSE-JZRO,10215,10318,10215,10318,480
127,NYSE-KRAS,9727,9798,9701,9793,762
127,NYSE-KTST,9744,9774,9738,9761,711
127,NYSE-MDKA,9840,9927,9822,9927,186
127,NYSE-NGUP,9801,9824,9763,9763,436
127,NYSE-SIMP,10017,10035,9985,10014,622
127,NYSE-XFR,10052,10064,10030,10050,289
127,NYSE-ZABA,9663,9698,9635,9657,94
128,NYSE-CARD,10252,10476,10243,10461,1514
128,NYSE-DDJH,10047,10047,9911,9951,583
128,NYSE-ETFA,9920,9920,9894,9894,458
