time,instrument,price,quantity,passive_order_id,active_order_id
408101,NYSE-ETFA,9466,5,45066,45169
408101,NYSE-ETFA,9466,5,45068,45169
408101,NYSE-ETFA,9463,10,45029,45169
408101,NYSE-ETFA,9460,10,40808,45169
408101,NYSE-ETFA,9460,5,44988,45169
408101,NYSE-ETFA,9460,5,45003,45169
408101,NYSE-ETFA,9457,10,40693,45169
408102,NYSE-CARD,9979,10,50221,50237
408102,NYSE-DDJH,7906,10,46209,47043
408102,NYSE-INA,9653,5,46036,46109
408103,NYSE-KTST,8898,5,44679,44680
408104,NYSE-NGUP,9371,5,45687,45844
408104,NYSE-XFR,9595,50,45040,45441
408104,NYSE-XFR,9595,100,45050,45443
408104,NYSE-XFR,9595,50,45050,45445
408115,NYSE-ETFA3,9314,5,45727,45763
408115,NYSE-ETFA3,9314,5,45751,45764
408115,NYSE-NGUP,9356,5,45844,45853
408187,NYSE-CARD,9980,5,50237,50247
408187,NYSE-CARD,9980,5,50237,50248
408187,NYSE-ETFA3,9310,3,45753,45765
408187,NYSE-NGUP,9356,1,45844,45854
408187,NYSE-XFR,9595,1,45445,45450
408187,NYSE-DDJH,7917,5,47043,47053
408187,NYSE-DDJH,7917,5,47043,47054
408187,NYSE-DDJH,7917,5,47043,47055
408200,NYSE-ETFA3,9289,5,44289,45767
408200,NYSE-ETFA3,9286,5,44273,45767
408200,NYSE-ETFA3,9286,5,44287,45767
408200,NYSE-ETFA3,9285,5,44261,45767
408200,NYSE-ETFA3,9278,10,44249,45767
408200,NYSE-SIMP,9987,5,48424,48433
408201,NYSE-INA,9645,5,46024,46119
408201,NYSE-INA,9636,5,46025,46119
408201,NYSE-JZRO,9831,50,45909,45920
408201,NYSE-KRAS,8561,5,44424,45437
408201,NYSE-KRAS,8561,5,44510,45437
408201,NYSE-XFR,9594,50,44908,45452
408201,NYSE-XFR,9594,100,44908,45454
408201,NYSE-XFR,9594,150,45062,45456
408201,NYSE-XFR,9594,100,45301,45458
408201,NYSE-XFR,9594,100,45321,45458
408201,NYSE-XFR,9594,100,45387,45460
408201,NYSE-XFR,9594,100,45399,45460
408201,NYSE-XFR,9593,50,44930,45460
