time,instrument,price,quantity,passive_order_id,active_order_id
408193,SSE-FSR,8912,8,49752,49763
408193,SSE-KRAS,8643,5,45207,45233
408193,SSE-SIMP,10075,5,50285,50294
408243,SSE-CARD,9946,5,52316,52325
408243,SSE-FSR,8907,5,49764,49775
408243,SSE-HT,9858,5,48653,48662
408243,SSE-KRAS,8643,5,45233,45244
408243,SSE-SIMP,10058,5,50293,50304
408243,SSE-ZABA,9333,5,45846,45855
408293,SSE-KRAS,8643,3,45233,45245
408293,SSE-SIMP,10055,5,50305,50312
408294,SSE-ZABA,9341,5,45856,45857
408315,SSE-CARD,9948,5,52328,52337
408315,SSE-CARD,9948,5,52328,52338
408332,SSE-HT,9853,5,48665,48674
408332,SSE-FSR,8919,5,49776,49786
408332,SSE-KRAS,8642,5,45246,45256
408332,SSE-SIMP,10050,5,50311,50321
408332,SSE-ZABA,9350,5,45857,45867
408376,SSE-HT,9853,5,48665,48676
408376,SSE-HT,9853,5,48665,48677
408393,SSE-CARD,9948,4,52328,52340
408393,SSE-HT,9849,6,48664,48678
408393,SSE-FSR,8893,5,49749,49788
408393,SSE-KRAS,8635,5,45243,45258
408393,SSE-KRAS,8634,5,44912,45258
408393,SSE-KRAS,8632,5,44825,45258
408394,SSE-ZABA,9361,5,45783,45868
408394,SSE-ZABA,9361,5,45819,45868
408453,SSE-CARD,9948,5,52341,52355
408453,SSE-ZABA,9365,5,45868,45878
408493,SSE-FSR,8892,10,49788,49798
408493,SSE-KRAS,8627,1,44837,45268
408493,SSE-CARD,9950,1,52342,52356
408493,SSE-CARD,9940,1,52351,52358
408493,SSE-KRAS,8627,4,44837,45270
408494,SSE-SIMP,10049,5,50303,50340
408494,SSE-SIMP,10047,5,50126,50340
408494,SSE-SIMP,10046,5,50228,50340
408525,SSE-ZABA,9351,5,45879,45889
408566,SSE-CARD,9940,5,52358,52368
408593,SSE-HT,9834,3,48583,48701
408593,SSE-SIMP,10045,4,50002,50350
408593,SSE-HT,9834,2,48583,48703
408593,SSE-HT,9824,5,48571,48703
408593,SSE-HT,9818,5,48557,48703
408593,SSE-HT,9813,5,48531,48703
408627,SSE-SIMP,10054,5,50351,50361
408681,SSE-CARD,9928,5,52370,52380
408693,SSE-FSR,8905,9,49811,49821
408693,SSE-KRAS,8640,5,45267,45291
408693,SSE-KRAS,8641,3,45281,45291
408693,SSE-CARD,9946,5,52367,52381
408725,SSE-CARD,9948,5,52379,52391
408726,SSE-FSR,8895,5,49822,49833
408726,SSE-KRAS,8631,5,45292,45303
408726,SSE-SIMP,10051,5,50363,50372
408726,SSE-ZABA,9352,5,45902,45911
408793,SSE-SIMP,10051,4,50363,50374
408793,SSE-HT,9839,1,48724,48725
408793,SSE-KRAS,8627,5,45302,45305
408793,SSE-KRAS,8620,5,44789,45305
408793,SSE-SIMP,10060,5,50349,50375
408793,SSE-SIMP,10065,5,50373,50375
408811,SSE-HT,9839,4,48724,48736
408827,SSE-CARD,9949,5,52394,52407
408827,SSE-FSR,8895,5,49834,49845
408827,SSE-HT,9838,5,48726,48738
408827,SSE-KRAS,8617,5,45305,45314
408827,SSE-SIMP,10073,5,50375,50386
408827,SSE-ZABA,9351,5,45914,45923
408893,SSE-CARD,9950,5,52393,52408
408893,SSE-CARD,9957,5,52339,52408
408893,SSE-CARD,9960,5,52326,52408
408893,SSE-CARD,10020,1,52312,52408
408893,SSE-CARD,10022,5,52314,52408
408893,SSE-CARD,10041,5,52286,52408
408893,SSE-CARD,10052,5,52301,52408
408893,SSE-CARD,10055,5,52261,52408
408893,SSE-CARD,10056,10,52299,52408
408893,SSE-CARD,10059,4,52273,52408
