index,instrument,open,high,low,close,volume
408,TMX-CARD,10025,10156,10017,10156,288
408,TMX-DDJH,7936,7936,7915,7926,59
408,TMX-ETFA3,9288,9292,9288,9292,20
408,TMX-GOLD,10921,10941,10921,10941,15
408,TMX-HT,9876,9879,9824,9871,84
408,TMX-JZRO,9868,9882,9866,9882,18
408,TMX-KRAS,8620,8655,8620,8653,92
408,TMX-KTST,8937,8942,8933,8933,4045
408,TMX-MDKA,9786,9900,9786,9900,43
408,TMX-NGUP,9412,9412,9412,9412,2
408,TMX-SIMP,10054,10054,10018,10027,62
408,TMX-XFR,9546,9566,9529,9566,1674
408,TMX-ZABA,9418,9419,9399,9418,39
409,TMX-CARD,10277,10357,10267,10357,66
409,TMX-DDJH,7950,7959,7908,7908,50
409,TMX-ETFA3,9286,9308,9286,9303,224
409,TMX-GOLD,10943,10968,10915,10968,126
409,TMX-HT,9871,9906,9871,9901,75
409,TMX-JZRO,9890,9897,9825,9825,80
409,TMX-KRAS,8640,8644,8608,8608,52
409,TMX-KTST,8942,8948,8928,8928,4567
409,TMX-MDKA,9900,9971,9842,9905,69
409,TMX-NGUP,9442,9442,9354,9354,49
409,TMX-SIMP,10029,10051,10016,10019,78
409,TMX-XFR,9550,9568,9550,9568,1012
409,TMX-ZABA,9406,9441,9406,9441,86
410,TMX-CARD,10346,10346,10136,10137,65
410,TMX-DDJH,7948,7948,7852,7886,124
410,TMX-ETFA3,9302,9316,9291,9316,52
410,TMX-GOLD,10969,10973,10941,10941,22
410,TMX-HT,9908,9929,9868,9880,64
410,TMX-JZRO,9818,9818,9739,9739,84
410,TMX-KRAS,8600,8611,8576,8576,64
410,TMX-KTST,8928,8938,8916,8933,2743
410,TMX-MDKA,9916,9980,9862,9862,60
410,TMX-NGUP,9354,9354,9290,9290,65
410,TMX-SIMP,10016,10021,9988,9988,138
410,TMX-XFR,9568,9573,9545,9573,643
410,TMX-ZABA,9416,9418,9415,9418,20
411,TMX-CARD,10156,10175,10153,10157,115
411,TMX-DDJH,7878,7914,7878,7894,35
411,TMX-ETFA3,9325,9325,9289,9289,152
411,TMX-GOLD,10941,10976,10935,10976,33
411,TMX-HT,9864,9864,9832,9832,55
411,TMX-JZRO,9628,9628,9591,9591,8
411,TMX-KRAS,8552,8552,8552,8552,1
411,TMX-KTST,8927,8927,8878,8892,5050
411,TMX-MDKA,9857,9857,9765,9765,83
411,TMX-NGUP,9271,9271,9271,9271,6
411,TMX-SIMP,9987,10031,9980,10031,153
411,TMX-XFR,9574,9576,9546,9576,337
411,TMX-ZABA,9415,9419,9381,9419,64
412,TMX-CARD,10156,10190,10120,10190,67
412,TMX-DDJH,7882,7906,7877,7906,45
412,TMX-ETFA3,9288,9288,9273,9283,140
412,TMX-GOLD,10993,10993,10927,10927,29
412,TMX-HT,9845,9845,9829,9829,9
412,TMX-JZRO,9668,9668,9668,9668,3
412,TMX-KRAS,8540,8560,8534,8534,10
412,TMX-KTST,8890,8917,8886,8917,1805
412,TMX-MDKA,9637,9637,9637,9637,5
412,TMX-NGUP,9282,9282,9282,9282,10
412,TMX-SIMP,10035,10051,10035,10051,28
412,TMX-XFR,9576,9599,9576,9599,272
412,TMX-ZABA,9397,9443,9397,9443,11
413,TMX-CARD,10296,10298,10118,10118,21
413,TMX-DDJH,7906,7906,7887,7887,13
413,TMX-ETFA3,9259,9259,9240,9240,68
413,TMX-GOLD,10947,10947,10947,10947,5
