time,instrument,price,quantity,passive_order_id,active_order_id
408124,TMX-ETFA3,9288,10,42710,42773
408125,TMX-KTST,8937,50,41970,42118
408125,TMX-KTST,8937,41,41970,42120
408125,TMX-ZABA,9418,5,46456,46513
408173,TMX-HT,9824,5,43492,43501
408173,TMX-HT,9824,5,43492,43502
408205,TMX-DDJH,7922,5,44855,44865
408205,TMX-KTST,8937,5,42120,42128
408205,TMX-SIMP,10052,5,47383,47401
408224,TMX-MDKA,9786,5,46374,46383
408224,TMX-HT,9844,5,43503,43504
408225,TMX-KTST,8937,50,42120,42130
408225,TMX-KTST,8937,4,42120,42132
408245,TMX-CARD,10025,50,50924,50933
408245,TMX-CARD,10026,100,50926,50933
408245,TMX-CARD,10027,50,50928,50933
408302,TMX-DDJH,7915,5,44866,44876
408302,TMX-HT,9848,5,43504,43514
408302,TMX-KTST,8935,5,42100,42139
408302,TMX-SIMP,10050,5,47402,47415
408324,TMX-GOLD,10921,2,43304,43314
408324,TMX-CARD,10023,5,50923,50935
408324,TMX-ZABA,9419,1,46525,46535
408324,TMX-KTST,8935,50,42100,42141
408324,TMX-KTST,8935,85,42100,42143
408324,TMX-KTST,8935,15,42109,42143
408324,TMX-KTST,8935,85,42109,42145
408324,TMX-KTST,8935,65,42122,42145
408324,TMX-SIMP,10021,5,47398,47417
408325,TMX-XFR,9546,50,41983,42139
408325,TMX-XFR,9546,100,41983,42141
408325,TMX-XFR,9546,60,41983,42143
408325,TMX-XFR,9539,90,41929,42143
408325,TMX-XFR,9539,160,41929,42145
408378,TMX-HT,9831,5,43516,43525
408393,TMX-DDJH,7923,5,44877,44887
408393,TMX-HT,9827,5,43515,43526
408393,TMX-KTST,8935,5,42122,42150
408425,TMX-KTST,8935,50,42122,42152
408425,TMX-KTST,8935,30,42122,42154
408425,TMX-KTST,8934,70,42087,42154
408425,TMX-KTST,8934,30,42087,42156
408425,TMX-KTST,8933,120,42102,42156
408425,TMX-KTST,8933,80,42102,42158
408425,TMX-KTST,8933,120,42111,42158
408425,TMX-XFR,9536,50,41800,42149
408425,TMX-XFR,9536,100,41800,42151
408425,TMX-XFR,9536,100,41800,42153
408425,TMX-XFR,9535,50,41886,42153
408425,TMX-XFR,9535,200,41886,42155
408425,TMX-ZABA,9399,5,46546,46547
408456,TMX-CARD,10017,10,50948,50957
408456,TMX-DDJH,7932,10,44888,44899
408468,TMX-DDJH,7932,5,44888,44900
408468,TMX-HT,9864,5,43527,43537
408468,TMX-KTST,8933,5,42111,42161
408468,TMX-MDKA,9842,5,46404,46414
408468,TMX-SIMP,10026,5,47428,47438
408468,TMX-ZABA,9405,5,46547,46557
408510,TMX-HT,9864,5,43527,43540
408510,TMX-KTST,8933,5,42111,42162
408510,TMX-MDKA,9842,5,46404,46415
408510,TMX-ZABA,9405,5,46547,46558
408524,TMX-ETFA3,9292,10,42813,42814
408524,TMX-GOLD,10925,3,43327,43338
408524,TMX-JZRO,9868,4,43793,43804
408524,TMX-DDJH,7934,4,44889,44901
408524,TMX-XFR,9534,2,41950,42158
408524,TMX-NGUP,9412,2,44141,44150
408526,TMX-XFR,9534,50,41950,42160
408526,TMX-XFR,9534,100,41950,42162
408526,TMX-XFR,9534,98,41950,42164
408526,TMX-XFR,9529,52,41865,42164
408526,TMX-XFR,9529,198,41865,42166
408526,TMX-XFR,9529,2,41961,42166
408596,TMX-HT,9857,5,43541,43551
408596,TMX-KTST,8933,5,42111,42173
408596,TMX-MDKA,9815,5,46416,46426
408596,TMX-SIMP,10026,5,47440,47450
408596,TMX-ZABA,9418,5,46559,46569
408624,TMX-DDJH,7926,10,44903,44912
408624,TMX-CARD,10017,6,50962,50972
408624,TMX-HT,9857,1,43541,43552
408624,TMX-CARD,10030,10,50958,50973
408624,TMX-CARD,10044,1,50907,50973
408624,TMX-CARD,10051,5,50919,50973
408624,TMX-CARD,10061,5,50920,50973
408624,TMX-CARD,10071,5,50921,50973
408624,TMX-CARD,10110,5,50872,50973
408624,TMX-CARD,10120,5,50873,50973
408624,TMX-CARD,10127,10,50840,50973
408624,TMX-CARD,10130,4,50874,50973
408624,TMX-CARD,10130,1,50874,50975
408624,TMX-CARD,10131,1,50805,50975
408624,TMX-CARD,10136,5,50836,50975
408624,TMX-CARD,10146,5,50837,50975
408624,TMX-CARD,10156,5,50838,50975
408625,TMX-KTST,8936,50,42132,42174
408625,TMX-KTST,8936,46,42132,42176
408625,TMX-KTST,8936,50,42164,42176
408625,TMX-KTST,8937,4,42147,42176
408625,TMX-KTST,8937,150,42147,42178
408625,TMX-KTST,8937,46,42147,42180
408625,TMX-KTST,8938,150,41818,42180
408625,TMX-KTST,8938,4,41833,42180
408625,TMX-KTST,8938,246,41833,42182
408625,TMX-KTST,8938,4,41874,42182
408658,TMX-KRAS,8624,5,47271,47281
408696,TMX-KTST,8933,5,42111,42184
408696,TMX-MDKA,9895,5,46427,46437
408696,TMX-ZABA,9419,5,46570,46580
408724,TMX-SIMP,10024,6,47452,47462
408724,TMX-KRAS,8628,7,47272,47283
408724,TMX-XFR,9532,7,42170,42179
408724,TMX-HT,9848,5,43553,43567
408724,TMX-KRAS,8624,6,47271,47284
408724,TMX-KRAS,8629,5,47228,47285
408724,TMX-KRAS,8632,5,47205,47285
408724,TMX-KRAS,8643,5,47154,47285
408724,TMX-KTST,8938,50,41874,42185
408724,TMX-KTST,8938,100,41874,42187
408724,TMX-KTST,8938,96,41874,42189
408724,TMX-KTST,8938,54,42134,42189
408724,TMX-KTST,8938,96,42134,42191
408724,TMX-KTST,8938,100,42166,42191
408724,TMX-KTST,8939,4,41763,42191
408724,TMX-KTST,8939,146,41763,42193
408724,TMX-KTST,8939,104,41776,42193
408725,TMX-XFR,9560,5,42096,42180
408725,TMX-XFR,9562,5,42107,42180
408725,TMX-XFR,9566,5,41813,42180
408725,TMX-XFR,9566,35,41984,42180
408785,TMX-HT,9856,5,43568,43578
408785,TMX-KTST,8933,5,42111,42195
408785,TMX-MDKA,9891,5,46438,46448
408824,TMX-JZRO,9871,4,43827,43838
408824,TMX-ZABA,9417,5,46591,46592
408824,TMX-ZABA,9418,3,46582,46592
408824,TMX-SIMP,10018,7,47463,47474
408824,TMX-MDKA,9891,3,46438,46449
408824,TMX-GOLD,10937,5,43371,43372
408824,TMX-HT,9859,5,43564,43579
408824,TMX-KRAS,8650,5,47295,47296
408824,TMX-KTST,8939,50,41776,42196
408824,TMX-KTST,8939,46,41776,42198
408824,TMX-KTST,8940,54,41820,42198
408824,TMX-KTST,8940,146,41820,42200
408824,TMX-KTST,8940,4,42086,42200
408824,TMX-KTST,8940,46,42086,42202
408824,TMX-KTST,8940,154,42136,42202
408824,TMX-KTST,8940,46,42136,42204
408824,TMX-KTST,8940,150,42168,42204
408824,TMX-KTST,8941,54,41765,42204
408824,TMX-SIMP,10022,5,47473,47475
408824,TMX-SIMP,10030,5,47461,47475
408884,TMX-GOLD,10941,5,43372,43382
408884,TMX-HT,9870,5,43579,43589
408884,TMX-JZRO,9866,5,43839,43849
408884,TMX-KRAS,8655,5,47296,47306
408884,TMX-MDKA,9864,5,46450,46460
408884,TMX-KRAS,8655,40,47296,47307
408884,TMX-KRAS,8653,5,47298,47307
408924,TMX-SIMP,10035,3,47476,47486
408924,TMX-XFR,9551,5,42190,42200
408924,TMX-JZRO,9882,5,43837,43850
408924,TMX-KTST,8941,50,41765,42206
408924,TMX-KTST,8941,96,41765,42208
408924,TMX-KTST,8941,4,41778,42208
408924,TMX-KTST,8941,150,41778,42210
408924,TMX-KTST,8941,96,41778,42212
408924,TMX-KTST,8941,50,42108,42212
408924,TMX-KTST,8942,54,41822,42212
408924,TMX-KTST,8942,196,41822,42214
408924,TMX-KTST,8942,54,42088,42214
408925,TMX-XFR,9566,50,41984,42201
408925,TMX-XFR,9566,100,41984,42203
408986,TMX-HT,9871,5,43590,43600
408986,TMX-KTST,8933,5,42111,42216
408986,TMX-MDKA,9900,5,46461,46471
408986,TMX-SIMP,10027,5,47487,47497
409021,TMX-HT,9871,5,43590,43601
409021,TMX-MDKA,9900,5,46461,46472
409024,TMX-SIMP,10029,6,47488,47498
409025,TMX-JZRO,9890,5,43861,43862
409025,TMX-JZRO,9897,5,43815,43862
